Time domain signal
Samplerate: 100000 Samples/sec
Col 1 [N]	Model: Hammer PCB 056E80	SerialNr.: 27038	Sensitivity: 0,023300000  [V/N]	PreampGain: 10,0	SensorPosition: Bridge_left_top	
Col 2 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 82951	Sensitivity: 0,000587000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Bridge_left_top	
Col 3 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 82745	Sensitivity: 0,000567000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Bridge_right_top	
Col 4 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 125624	Sensitivity: 0,000545000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Cello Body	
Col 5 [m/s]	Model: Polytec IVS-400	SerialNr.: 0170642	Sensitivity: 40,000000000  [V/m/s]	PreampGain: 1,0	SensorPosition: Bridge_right_top	
DataLines: 114688
Col 1 [N]	Col 2 [m/s^2]	Col 3 [m/s^2]	Col 4 [m/s^2]	Col 5 [m/s]	
-0.006341	0.486817	-0.670491	-0.419666	-0.000464
0.004745	0.474970	-0.669615	-0.503517	-0.000544
-0.003889	0.416582	-0.681003	-0.562759	-0.000502
-0.005893	0.442814	-0.616175	-0.435161	-0.000487
0.002443	0.474970	-0.520684	-0.398704	-0.000427
-0.002802	0.502049	-0.563611	-0.371361	-0.000488
-0.011820	0.289650	-0.745832	-0.607418	-0.000465
0.004681	0.514742	-0.522436	-0.398704	-0.000460
0.001910	0.560437	-0.504915	-0.455212	-0.000553
-0.000499	0.572284	-0.541710	-0.311208	-0.000550
0.002784	0.520665	-0.569744	-0.430603	-0.000515
0.003658	0.496972	-0.595149	-0.436072	-0.000484
-0.001395	0.397119	-0.554851	-0.408729	-0.000564
0.001611	0.456353	-0.644209	-0.479820	-0.000533
0.004745	0.577362	-0.507543	-0.373184	-0.000459
-0.002013	0.561284	-0.496154	-0.493491	-0.000553
0.001569	0.476663	-0.652969	-0.395058	-0.000647
-0.007918	0.405581	-0.631944	-0.525391	-0.000592
-0.005722	0.266802	-0.806280	-0.590101	-0.000533
-0.000499	0.421659	-0.666110	-0.577342	-0.000585
0.005619	0.443660	-0.618803	-0.456123	-0.000495
-0.002333	0.444507	-0.547842	-0.444275	-0.000532
0.000268	0.481740	-0.677499	-0.494403	-0.000458
0.004042	0.334499	-0.702905	-0.510808	-0.000610
-0.006490	0.400504	-0.636324	-0.597393	-0.000521
-0.000265	0.502049	-0.487394	-0.384121	-0.000488
0.003210	0.364116	-0.639829	-0.538151	-0.000508
0.000801	0.377656	-0.730063	-0.568227	-0.000542
-0.002290	0.308267	-0.701153	-0.599216	-0.000572
0.006216	0.475816	-0.645961	-0.436072	-0.000511
-0.001842	0.507972	-0.607414	-0.453389	-0.000535
-0.006447	0.380195	-0.673119	-0.503517	-0.000487
0.001249	0.353962	-0.589017	-0.483466	-0.000499
0.001846	0.474970	-0.613547	-0.496225	-0.000583
-0.005488	0.491048	-0.608290	-0.499871	-0.000493
0.001526	0.358193	-0.629316	-0.431515	-0.000520
0.000908	0.569746	-0.511048	-0.326702	-0.000484
-0.013205	0.381041	-0.676623	-0.456123	-0.000584
0.000439	0.441122	-0.702905	-0.510808	-0.000504
-0.000222	0.336192	-0.633696	-0.598304	-0.000462
-0.000030	0.463123	-0.602158	-0.496225	-0.000527
0.000695	0.353116	-0.691516	-0.474351	-0.000549
0.001611	0.449584	-0.590769	-0.468883	-0.000499
