Time domain signal
Samplerate: 100000 Samples/sec
Col 1 [N]	Model: Hammer PCB 056E80	SerialNr.: 27038	Sensitivity: 0,023300000  [V/N]	PreampGain: 10,0	SensorPosition: Bridge_left_top	
Col 2 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 82951	Sensitivity: 0,000587000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Bridge_left_top	
Col 3 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 82745	Sensitivity: 0,000567000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Bridge_right_top	
Col 4 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 125624	Sensitivity: 0,000545000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Cello Body	
Col 5 [m/s]	Model: Polytec IVS-400	SerialNr.: 0170642	Sensitivity: 40,000000000  [V/m/s]	PreampGain: 1,0	SensorPosition: Bridge_right_top	
DataLines: 114688
Col 1 [N]	Col 2 [m/s^2]	Col 3 [m/s^2]	Col 4 [m/s^2]	Col 5 [m/s]	
0.003381	-0.179997	-0.683632	-0.709497	-0.000668
-0.001949	-0.262926	-0.652969	-0.835273	-0.000536
0.009904	-0.166458	-0.516304	-0.698560	-0.000539
0.005619	-0.167304	-0.598654	-0.618355	-0.000535
0.002656	-0.281542	-0.716922	-0.821602	-0.000510
0.008710	-0.269695	-0.691516	-0.817956	-0.000596
0.004639	-0.328930	-0.704657	-0.791525	-0.000521
0.003487	-0.378856	-0.728311	-0.838918	-0.000597
0.008732	-0.253617	-0.686260	-0.783322	-0.000445
0.009222	-0.285773	-0.603034	-0.716789	-0.000550
0.003594	-0.207076	-0.701153	-0.755979	-0.000499
0.008007	-0.257848	-0.737947	-0.889958	-0.000572
0.010139	-0.235847	-0.672243	-0.800639	-0.000635
0.001313	-0.324699	-0.595149	-0.825247	-0.000541
0.009030	-0.326391	-0.730063	-0.787879	-0.000613
0.010544	-0.212999	-0.666110	-0.851678	-0.000577
0.004788	-0.163073	-0.497907	-0.723168	-0.000649
0.007815	-0.186767	-0.574124	-0.710409	-0.000584
