Time domain signal
Samplerate: 100000 Samples/sec
Col 1 [N]	Model: Hammer PCB 056E80	SerialNr.: 27038	Sensitivity: 0,023300000  [V/N]	PreampGain: 10,0	SensorPosition: Bridge_left_top	
Col 2 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 82951	Sensitivity: 0,000587000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Bridge_left_top	
Col 3 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 82745	Sensitivity: 0,000567000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Bridge_right_top	
Col 4 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 125624	Sensitivity: 0,000545000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Cello Body	
Col 5 [m/s]	Model: Polytec IVS-400	SerialNr.: 0170642	Sensitivity: 40,000000000  [V/m/s]	PreampGain: 1,0	SensorPosition: Bridge_right_top	
DataLines: 114688
Col 1 [N]	Col 2 [m/s^2]	Col 3 [m/s^2]	Col 4 [m/s^2]	Col 5 [m/s]	
-0.021925	-0.461785	-0.827306	-0.349487	-0.000534
-0.015721	-0.455862	-0.818545	-0.282042	-0.000509
-0.020837	-0.438937	-0.702905	-0.190901	-0.000592
-0.027084	-0.638643	-0.870233	-0.392324	-0.000507
-0.018322	-0.520174	-0.928929	-0.254700	-0.000537
-0.022884	-0.433014	-0.785255	-0.272928	-0.000582
-0.026380	-0.583639	-0.819421	-0.184521	-0.000562
-0.020880	-0.520174	-0.832562	-0.455212	-0.000588
-0.023758	-0.621719	-0.833438	-0.374096	-0.000576
-0.028299	-0.535405	-0.960467	-0.381387	-0.000593
-0.019345	-0.538790	-0.969228	-0.355867	-0.000492
-0.020859	-0.408474	-0.775618	-0.262903	-0.000477
-0.027233	-0.465170	-0.782627	-0.323968	-0.000516
-0.017576	-0.358547	-0.689764	-0.277485	-0.000588
-0.018641	-0.372087	-0.734443	-0.212775	-0.000472
-0.022671	-0.491403	-0.815917	-0.325790	-0.000534
-0.020560	-0.579408	-0.858844	-0.315765	-0.000497
-0.019281	-0.594640	-0.985873	-0.451566	-0.000531
-0.022649	-0.415244	-0.716922	-0.283865	-0.000465
-0.019345	-0.482094	-0.868481	-0.333082	-0.000470
-0.017661	-0.531174	-0.872861	-0.284777	-0.000582
-0.024483	-0.548945	-0.935937	-0.353133	-0.000484
-0.019878	-0.449938	-0.876365	-0.239206	-0.000651
-0.017874	-0.503249	-0.961343	-0.268371	-0.000556
-0.025741	-0.620873	-0.965723	-0.426046	-0.000546
-0.020688	-0.490556	-0.875489	-0.331259	-0.000438
-0.011414	-0.317929	-0.732691	-0.115253	-0.000538
-0.023758	-0.442322	-0.826430	-0.282954	-0.000559
-0.023566	-0.595486	-1.000766	-0.467972	-0.000491
-0.015870	-0.507481	-0.801024	-0.387767	-0.000568
-0.024398	-0.547252	-0.807156	-0.248320	-0.000492
-0.023182	-0.526097	-0.848331	-0.299359	-0.000557
-0.018535	-0.537098	-0.789635	-0.346753	-0.000537
-0.023118	-0.504942	-0.735319	-0.329436	-0.000680
-0.026124	-0.559099	-0.838695	-0.382298	-0.000532
-0.018492	-0.562484	-0.928929	-0.435161	-0.000509
-0.023758	-0.515096	-0.795768	-0.237383	-0.000506
-0.028107	-0.304390	-0.688012	-0.184521	-0.000512
-0.016680	-0.426244	-0.733567	-0.261991	-0.000486
-0.026060	-0.546406	-0.942070	-0.395970	-0.000502
-0.029493	-0.493941	-0.793139	-0.243763	-0.000489
-0.019516	-0.527790	-0.730939	-0.332170	-0.000472
-0.024120	-0.521020	-0.840447	-0.329436	-0.000566
-0.041943	-0.603102	-0.899143	-0.369538	-0.000585
-0.020475	-0.504942	-0.807156	-0.350399	-0.000628
-0.023587	-0.609872	-0.877241	-0.347664	-0.000570
-0.032008	-0.614103	-0.927177	-0.390501	-0.000571
-0.021456	-0.435553	-0.811537	-0.443363	-0.000498
-0.021285	-0.578562	-0.779122	-0.301182	-0.000510
-0.026721	-0.598871	-0.854464	-0.336727	-0.000600
-0.021328	-0.620873	-0.843075	-0.380475	-0.000554
-0.019047	-0.416936	-0.768610	-0.189989	-0.000633
-0.027531	-0.482094	-0.768610	-0.304828	-0.000494
-0.021029	-0.485479	-0.816793	-0.264725	-0.000635
-0.020901	-0.521866	-0.957839	-0.373184	-0.000569
-0.027702	-0.546406	-0.832562	-0.412375	-0.000556
-0.020518	-0.612411	-0.871985	-0.357690	-0.000612
-0.015167	-0.471940	-0.797520	-0.243763	-0.000539
-0.030452	-0.600564	-0.915788	-0.401438	-0.000531
-0.001459	-0.543868	-0.947326	-0.401438	-0.000574
-0.019047	-0.625104	-0.920168	-0.337639	-0.000618
-0.029365	-0.487171	-0.947326	-0.351310	-0.000509
-0.015934	-0.473632	-0.806280	-0.287511	-0.000585
-0.018876	-0.427091	-0.819421	-0.295714	-0.000521
-0.026572	-0.472786	-0.808032	-0.277485	-0.000553
-0.021839	-0.530328	-0.948202	-0.347664	-0.000553
-0.017533	-0.551483	-0.801900	-0.253788	-0.000486
-0.028107	-0.634412	-0.921044	-0.322145	-0.000539
-0.021903	-0.500711	-0.834314	-0.336727	-0.000513
-0.021946	-0.478709	-0.830810	-0.285688	-0.000471
-0.026380	-0.539637	-0.831686	-0.380475	-0.000513
-0.022969	-0.515943	-0.898267	-0.309385	-0.000588
-0.021093	-0.497326	-0.749336	-0.145330	-0.000493
-0.024291	-0.505788	-0.770362	-0.332170	-0.000563
-0.023566	-0.652183	-0.885126	-0.364070	-0.000528
-0.023268	-0.542175	-0.837818	-0.325790	-0.000464
-0.022394	-0.532867	-0.820297	-0.273840	-0.000522
-0.019814	-0.443169	-0.836066	-0.375007	-0.000537
-0.023843	-0.574331	-0.827306	-0.382298	-0.000526
