Time domain signal
Samplerate: 100000 Samples/sec
Col 1 [N]	Model: Hammer PCB 056E80	SerialNr.: 27038	Sensitivity: 0,023300000  [V/N]	PreampGain: 10,0	SensorPosition: Bridge_left_top	
Col 2 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 82951	Sensitivity: 0,000587000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Bridge_left_top	
Col 3 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 82745	Sensitivity: 0,000567000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Bridge_right_top	
Col 4 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 125624	Sensitivity: 0,000545000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Cello Body	
Col 5 [m/s]	Model: Polytec IVS-400	SerialNr.: 0170642	Sensitivity: 40,000000000  [V/m/s]	PreampGain: 1,0	SensorPosition: Bridge_right_top	
DataLines: 114688
Col 1 [N]	Col 2 [m/s^2]	Col 3 [m/s^2]	Col 4 [m/s^2]	Col 5 [m/s]	
-0.051003	-0.367856	-0.321818	-0.303005	-0.000543
-0.049085	-0.349239	-0.331455	-0.324879	-0.000616
-0.030431	-0.435553	-0.374382	-0.454300	-0.000581
-0.046931	-0.328930	-0.274511	-0.365893	-0.000488
-0.050470	-0.366163	-0.305173	-0.251966	-0.000594
-0.031390	-0.421167	-0.456732	-0.519922	-0.000485
-0.049021	-0.394088	-0.261370	-0.392324	-0.000553
-0.052304	-0.361932	-0.355109	-0.313031	-0.000563
-0.037423	-0.357701	-0.270131	-0.220066	-0.000673
-0.048530	-0.402550	-0.408548	-0.306651	-0.000500
-0.053348	-0.392396	-0.380514	-0.475263	-0.000601
-0.040195	-0.285773	-0.267502	-0.258346	-0.000559
-0.046484	-0.378010	-0.335835	-0.358601	-0.000631
-0.051707	-0.345008	-0.353356	-0.360424	-0.000605
-0.042838	-0.375472	-0.407672	-0.426958	-0.000499
-0.045396	-0.388165	-0.340216	-0.370450	-0.000568
-0.048338	-0.318776	-0.210558	-0.347664	-0.000508
-0.041325	-0.294235	-0.405920	-0.309385	-0.000566
-0.044501	-0.431322	-0.354233	-0.379564	-0.000521
-0.048573	-0.334007	-0.347224	-0.285688	-0.000543
-0.039235	-0.238386	-0.327075	-0.273840	-0.000536
-0.040685	-0.395781	-0.409424	-0.335816	-0.000517
-0.050151	-0.356009	-0.379638	-0.361336	-0.000600
-0.041772	-0.268003	-0.264874	-0.281131	-0.000509
-0.037274	-0.329776	-0.322694	-0.297537	-0.000561
-0.050342	-0.383934	-0.411177	-0.419666	-0.000620
-0.041474	-0.263772	-0.271007	-0.223712	-0.000585
-0.040195	-0.412705	-0.337587	-0.336727	-0.000507
-0.048125	-0.374625	-0.418185	-0.433338	-0.000548
-0.041879	-0.400858	-0.328827	-0.289334	-0.000520
-0.039811	-0.260387	-0.205302	-0.294802	-0.000588
-0.047805	-0.399166	-0.379638	-0.351310	-0.000546
-0.044139	-0.383934	-0.413805	-0.375007	-0.000633
-0.041175	-0.236693	-0.327951	-0.286599	-0.000600
-0.047038	-0.360240	-0.264874	-0.207306	-0.000530
-0.043520	-0.322160	-0.228956	-0.281131	-0.000520
-0.041602	-0.384780	-0.360365	-0.332170	-0.000520
-0.044970	-0.282388	-0.179896	-0.329436	-0.000551
-0.047827	-0.297620	-0.248229	-0.166292	-0.000560
-0.047763	-0.420321	-0.398036	-0.303916	-0.000572
-0.046505	-0.394088	-0.428698	-0.273840	-0.000505
-0.043563	-0.264618	-0.287652	-0.261991	-0.000505
-0.044693	-0.353470	-0.388399	-0.254700	-0.000513
-0.044373	-0.427937	-0.334083	-0.348576	-0.000509
-0.043222	-0.291697	-0.304297	-0.265637	-0.000614
-0.044011	-0.331469	-0.334083	-0.232826	-0.000543
-0.041858	-0.333161	-0.363869	-0.237383	-0.000581
-0.044778	-0.351778	-0.357737	-0.312119	-0.000512
-0.046313	-0.442322	-0.467244	-0.437895	-0.000536
-0.040536	-0.262926	-0.271007	-0.142596	-0.000500
-0.043499	-0.312852	-0.331455	-0.165381	-0.000550
-0.044224	-0.318776	-0.413805	-0.313942	-0.000535
-0.037018	-0.144456	-0.236840	-0.255611	-0.000500
-0.046228	-0.405089	-0.424317	-0.437895	-0.000429
-0.045482	-0.327238	-0.355985	-0.303005	-0.000490
-0.037274	-0.343316	-0.345472	-0.240117	-0.000623
-0.040472	-0.428783	-0.523312	-0.382298	-0.000539
-0.046676	-0.419475	-0.415557	-0.421489	-0.000623
-0.035846	-0.257002	-0.258742	-0.207306	-0.000559
-0.047123	-0.260387	-0.225451	-0.188166	-0.000502
-0.046143	-0.343316	-0.411177	-0.315765	-0.000513
-0.039534	-0.417782	-0.345472	-0.252877	-0.000563
-0.048083	-0.363625	-0.356861	-0.347664	-0.000493
-0.046420	-0.366163	-0.370878	-0.277485	-0.000585
-0.039704	-0.312852	-0.317438	-0.321233	-0.000569
-0.050023	-0.368702	-0.334083	-0.333082	-0.000504
-0.049596	-0.441476	-0.498783	-0.426958	-0.000494
-0.039896	-0.308621	-0.361241	-0.274751	-0.000521
-0.045588	-0.299313	-0.285024	-0.234649	-0.000447
-0.048658	-0.375472	-0.360365	-0.298448	-0.000514
-0.039065	-0.328930	-0.409424	-0.327613	-0.000579
-0.047763	-0.433860	-0.400664	-0.435161	-0.000495
-0.046633	-0.365317	-0.320066	-0.210952	-0.000534
-0.043392	-0.455862	-0.358613	-0.383210	-0.000523
-0.043478	-0.373779	-0.298165	-0.301182	-0.000608
-0.046036	-0.389011	-0.375258	-0.353133	-0.000576
-0.041431	-0.290004	-0.277139	-0.255611	-0.000488
-0.043840	-0.363625	-0.356861	-0.339462	-0.000574
-0.046121	-0.427937	-0.415557	-0.409641	-0.000543
-0.044458	-0.370394	-0.305173	-0.349487	-0.000614
-0.043648	-0.482940	-0.516304	-0.405084	-0.000558
-0.045418	-0.369548	-0.325322	-0.333082	-0.000559
-0.042987	-0.378010	-0.444467	-0.337639	-0.000516
-0.038276	-0.226539	-0.333207	-0.207306	-0.000449
-0.045077	-0.334854	-0.227204	-0.189078	-0.000578
-0.041644	-0.331469	-0.242973	-0.307562	-0.000510
-0.038020	-0.380549	-0.278015	-0.317588	-0.000583
-0.046079	-0.438937	-0.397160	-0.504428	-0.000437
-0.044011	-0.367856	-0.327075	-0.421489	-0.000578
-0.039832	-0.466016	-0.432202	-0.446098	-0.000560
-0.046974	-0.305236	-0.271883	-0.295714	-0.000561
-0.044629	-0.377164	-0.256114	-0.314853	-0.000489
-0.039704	-0.381395	-0.309553	-0.338550	-0.000558
-0.048743	-0.422013	-0.344596	-0.401438	-0.000570
-0.044736	-0.389011	-0.386647	-0.405995	-0.000508
-0.038361	-0.414397	-0.337587	-0.334905	-0.000484
-0.048317	-0.367856	-0.344596	-0.347664	-0.000502
-0.045631	-0.256156	-0.275387	-0.262903	-0.000519
-0.041239	-0.356009	-0.381390	-0.420578	-0.000452
-0.048338	-0.326391	-0.314810	-0.382298	-0.000587
-0.048914	-0.331469	-0.373506	-0.368627	-0.000495
-0.046697	-0.407628	-0.421689	-0.368627	-0.000465
-0.045610	-0.354316	-0.339339	-0.322145	-0.000465
-0.050897	-0.190152	-0.242097	-0.248320	-0.000505
-0.046654	-0.400012	-0.398912	-0.446098	-0.000525
-0.054798	-0.370394	-0.423441	-0.472529	-0.000487
-0.047528	-0.326391	-0.414681	-0.336727	-0.000575
-0.042923	-0.440630	-0.424317	-0.408729	-0.000522
-0.047912	-0.257848	-0.348100	-0.318499	-0.000588
-0.047827	-0.427937	-0.371754	-0.417844	-0.000544
-0.044757	-0.350932	-0.367373	-0.425135	-0.000561
-0.049063	-0.530328	-0.490898	-0.502605	-0.000510
-0.048125	-0.378010	-0.335835	-0.434249	-0.000513
-0.044949	-0.422013	-0.448847	-0.391412	-0.000507
-0.044565	-0.409320	-0.530321	-0.406907	-0.000544
-0.048807	-0.442322	-0.486518	-0.486200	-0.000492
-0.045034	-0.410166	-0.345472	-0.369538	-0.000503
-0.044352	-0.411859	-0.386647	-0.441540	-0.000577
-0.048893	-0.559946	-0.418185	-0.458857	-0.000528
-0.046100	-0.471093	-0.415557	-0.422401	-0.000565
-0.043499	-0.389011	-0.376134	-0.383210	-0.000475
-0.047187	-0.337392	-0.389275	-0.461592	-0.000525
-0.048147	-0.432168	-0.370002	-0.384121	-0.000512
-0.044736	-0.400012	-0.385771	-0.367716	-0.000502
-0.047699	-0.314544	-0.345472	-0.330348	-0.000564
-0.048573	-0.428783	-0.302545	-0.371361	-0.000518
-0.043499	-0.405935	-0.419937	-0.346753	-0.000567
-0.043201	-0.433860	-0.403292	-0.365893	-0.000471
-0.048381	-0.257848	-0.323570	-0.272928	-0.000585
-0.042625	-0.420321	-0.341092	-0.321233	-0.000524
-0.045055	-0.308621	-0.384895	-0.408729	-0.000568
-0.051472	-0.361932	-0.419937	-0.308474	-0.000536
-0.044096	-0.319622	-0.240344	-0.239206	-0.000647
-0.043222	-0.315391	-0.302545	-0.408729	-0.000557
-0.055885	-0.354316	-0.455856	-0.422401	-0.000477
-0.045951	-0.379703	-0.325322	-0.457035	-0.000575
