Time domain signal
Samplerate: 100000 Samples/sec
Col 1 [N]	Model: Hammer PCB 056E80	SerialNr.: 27038	Sensitivity: 0,023300000  [V/N]	PreampGain: 10,0	SensorPosition: Bridge_left_top	
Col 2 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 82951	Sensitivity: 0,000587000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Bridge_left_top	
Col 3 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 82745	Sensitivity: 0,000567000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Bridge_right_top	
Col 4 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 125624	Sensitivity: 0,000545000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Cello Body	
Col 5 [m/s]	Model: Polytec IVS-400	SerialNr.: 0170642	Sensitivity: 40,000000000  [V/m/s]	PreampGain: 1,0	SensorPosition: Bridge_right_top	
DataLines: 114688
Col 1 [N]	Col 2 [m/s^2]	Col 3 [m/s^2]	Col 4 [m/s^2]	Col 5 [m/s]	
-0.025272	-0.702109	-0.595149	-0.856235	-0.000523
-0.024312	-0.699570	-0.659978	-0.959226	-0.000528
-0.014698	-0.574331	-0.570620	-0.749600	-0.000461
-0.023651	-0.500711	-0.483014	-0.704029	-0.000536
-0.019857	-0.444861	-0.546090	-0.700383	-0.000609
-0.015977	-0.592948	-0.613547	-0.765094	-0.000619
-0.024035	-0.531174	-0.518932	-0.800639	-0.000556
-0.024440	-0.671645	-0.565363	-0.802462	-0.000547
-0.019111	-0.680108	-0.722178	-0.981100	-0.000489
-0.023779	-0.592948	-0.547842	-0.786056	-0.000514
-0.024845	-0.565023	-0.525941	-0.741397	-0.000620
-0.014420	-0.554868	-0.395407	-0.772385	-0.000488
-0.023822	-0.537944	-0.526817	-0.842564	-0.000560
-0.030452	-0.669953	-0.700277	-0.968340	-0.000589
-0.021498	-0.555715	-0.507543	-0.686712	-0.000568
-0.022159	-0.510019	-0.432202	-0.694914	-0.000574
-0.023822	-0.599717	-0.619679	-0.814310	-0.000611
-0.021306	-0.471940	-0.560107	-0.820690	-0.000592
-0.022372	-0.601410	-0.518056	-0.843476	-0.000538
-0.021264	-0.589563	-0.550470	-0.818867	-0.000584
-0.022777	-0.610718	-0.578504	-0.816133	-0.000520
-0.033671	-0.690262	-0.566239	-0.898161	-0.000627
-0.022585	-0.634412	-0.546090	-0.939174	-0.000540
-0.020944	-0.632720	-0.569744	-0.846210	-0.000557
-0.025165	-0.603949	-0.462864	-0.786056	-0.000501
-0.023204	-0.604795	-0.470749	-0.848944	-0.000557
-0.021392	-0.684339	-0.532073	-0.823424	-0.000589
-0.020049	-0.570946	-0.453227	-0.764182	-0.000552
-0.022991	-0.585332	-0.458484	-0.770562	-0.000611
-0.021925	-0.524405	-0.467244	-0.725903	-0.000522
-0.014356	-0.574331	-0.450599	-0.826159	-0.000622
-0.025314	-0.609026	-0.476881	-0.834361	-0.000529
-0.024078	-0.662337	-0.579380	-0.859881	-0.000577
-0.026274	-0.740188	-0.675747	-0.930060	-0.000571
-0.023865	-0.581947	-0.539081	-0.820690	-0.000629
-0.023438	-0.592102	-0.471625	-0.766916	-0.000531
-0.019473	-0.576870	-0.471625	-0.763271	-0.000526
-0.022394	-0.499865	-0.452351	-0.782411	-0.000541
-0.024696	-0.500711	-0.444467	-0.759625	-0.000556
-0.023310	-0.644567	-0.563611	-0.888135	-0.000607
-0.026508	-0.679261	-0.570620	-0.926415	-0.000606
-0.027041	-0.589563	-0.395407	-0.731371	-0.000501
-0.019686	-0.651336	-0.593397	-0.828893	-0.000554
-0.021029	-0.588717	-0.419061	-0.838918	-0.000493
-0.030281	-0.664030	-0.575000	-0.879932	-0.000516
-0.025378	-0.676723	-0.527693	-0.906363	-0.000589
-0.012885	-0.614949	-0.486518	-0.820690	-0.000504
-0.027020	-0.605641	-0.435706	-0.760537	-0.000541
-0.023758	-0.499018	-0.440963	-0.734105	-0.000538
-0.016147	-0.566715	-0.466368	-0.829804	-0.000557
-0.024888	-0.609872	-0.572372	-0.874464	-0.000648
-0.023417	-0.585332	-0.595149	-0.933706	-0.000530
-0.014207	-0.455015	-0.389275	-0.683977	-0.000586
-0.024312	-0.611564	-0.502287	-0.821602	-0.000529
-0.022138	-0.530328	-0.426070	-0.791525	-0.000651
-0.018983	-0.800269	-0.641581	-0.925503	-0.000514
-0.024035	-0.509173	-0.446219	-0.815222	-0.000536
-0.020688	-0.567561	-0.540834	-0.764182	-0.000500
-0.013504	-0.549791	-0.513676	-0.735928	-0.000534
-0.027723	-0.662337	-0.569744	-0.829804	-0.000574
-0.020432	-0.537944	-0.472501	-0.720434	-0.000660
-0.012374	-0.540483	-0.459360	-0.725903	-0.000606
-0.027723	-0.614103	-0.557479	-0.921857	-0.000560
-0.022116	-0.570946	-0.540834	-0.802462	-0.000591
-0.014058	-0.625104	-0.480385	-0.832539	-0.000554
-0.027872	-0.631027	-0.637200	-0.944643	-0.000508
-0.023310	-0.636105	-0.532949	-0.852590	-0.000500
-0.016083	-0.655567	-0.624059	-0.865350	-0.000550
-0.025229	-0.567561	-0.618803	-0.832539	-0.000542
-0.023779	-0.609872	-0.536453	-0.896338	-0.000551
-0.016701	-0.683492	-0.532949	-0.913655	-0.000502
-0.026551	-0.655567	-0.560983	-0.905452	-0.000577
-0.029216	-0.779960	-0.672243	-1.032139	-0.000578
-0.012011	-0.557407	-0.562735	-0.810665	-0.000467
-0.022756	-0.532021	-0.452351	-0.765094	-0.000579
-0.028192	-0.602256	-0.612671	-0.882666	-0.000530
-0.019430	-0.630181	-0.619679	-0.910920	-0.000517
-0.025890	-0.732573	-0.530321	-0.894515	-0.000513
-0.029983	-0.610718	-0.603910	-0.793348	-0.000558
-0.021264	-0.552330	-0.508419	-0.872641	-0.000514
-0.023801	-0.653029	-0.631068	-0.978365	-0.000476
-0.024973	-0.653029	-0.540834	-0.858058	-0.000495
-0.018407	-0.596333	-0.588141	-0.836184	-0.000559
-0.022180	-0.666568	-0.605662	-0.954668	-0.000561
-0.024078	-0.737650	-0.689764	-1.046722	-0.000553
-0.017256	-0.585332	-0.501411	-0.788790	-0.000482
-0.019601	-0.525251	-0.567115	-0.817044	-0.000497
-0.023332	-0.514250	-0.474253	-0.784233	-0.000564
-0.018919	-0.493095	-0.447095	-0.704029	-0.000509
-0.016638	-0.513404	-0.561859	-0.846210	-0.000601
-0.026359	-0.669953	-0.728311	-0.912743	-0.000545
-0.019707	-0.635258	-0.641581	-0.901806	-0.000566
-0.016787	-0.598025	-0.498783	-0.793348	-0.000569
-0.023396	-0.525251	-0.483890	-0.807930	-0.000630
-0.022116	-0.520174	-0.454104	-0.752334	-0.000600
-0.019089	-0.683492	-0.582885	-0.858058	-0.000537
-0.022266	-0.527790	-0.483890	-0.796993	-0.000611
-0.027148	-0.554868	-0.455856	-0.813399	-0.000570
-0.017384	-0.614103	-0.532949	-0.780588	-0.000655
-0.024163	-0.583639	-0.539081	-0.868084	-0.000505
-0.023268	-0.525251	-0.498783	-0.788790	-0.000586
-0.017298	-0.542175	-0.504915	-0.791525	-0.000478
-0.023865	-0.554868	-0.492650	-0.741397	-0.000540
-0.026679	-0.599717	-0.525065	-0.849855	-0.000513
-0.025463	-0.628489	-0.496154	-0.804285	-0.000557
-0.024760	-0.564177	-0.525941	-0.853501	-0.000459
-0.028043	-0.504096	-0.469873	-0.752334	-0.000492
-0.022074	-0.563330	-0.503163	-0.831627	-0.000562
-0.024675	-0.660645	-0.761601	-0.959226	-0.000521
-0.026551	-0.591255	-0.596025	-0.930060	-0.000638
-0.023310	-0.535405	-0.541710	-0.757802	-0.000564
-0.020368	-0.539637	-0.467244	-0.786968	-0.000577
-0.023289	-0.565869	-0.565363	-0.805196	-0.000612
