Time domain signal
Samplerate: 100000 Samples/sec
Col 1 [N]	Model: Hammer PCB 056E80	SerialNr.: 27038	Sensitivity: 0,023300000  [V/N]	PreampGain: 10,0	SensorPosition: Bridge_left_top	
Col 2 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 82951	Sensitivity: 0,000587000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Bridge_left_top	
Col 3 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 82745	Sensitivity: 0,000567000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Bridge_right_top	
Col 4 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 125624	Sensitivity: 0,000545000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Cello Body	
Col 5 [m/s]	Model: Polytec IVS-400	SerialNr.: 0170642	Sensitivity: 40,000000000  [V/m/s]	PreampGain: 1,0	SensorPosition: Bridge_right_top	
DataLines: 114688
Col 1 [N]	Col 2 [m/s^2]	Col 3 [m/s^2]	Col 4 [m/s^2]	Col 5 [m/s]	
-0.002183	-0.562484	-0.649465	-0.731371	-0.000533
-0.005253	-0.642874	-0.868481	-0.829804	-0.000571
0.008348	-0.687723	-0.852712	-0.843476	-0.000483
-0.001992	-0.529482	-0.744956	-0.730460	-0.000517
-0.005552	-0.665722	-0.784379	-0.817956	-0.000529
0.005278	-0.702955	-0.855340	-0.951934	-0.000642
-0.003633	-0.724957	-0.778246	-0.869907	-0.000518
-0.007449	-0.547252	-0.769486	-0.813399	-0.000629
0.005704	-0.595486	-0.804528	-0.734105	-0.000608
-0.002994	-0.745266	-0.819421	-0.804285	-0.000471
-0.005253	-0.636105	-0.769486	-0.827070	-0.000589
0.004383	-0.574331	-0.782627	-0.800639	-0.000527
-0.000627	-0.568408	-0.830810	-0.775119	-0.000569
-0.001139	-0.597179	-0.829934	-0.796082	-0.000607
0.005342	-0.484633	-0.808908	-0.734105	-0.000516
0.003018	-0.516789	-0.741452	-0.718611	-0.000512
-0.001970	-0.686031	-0.767734	-0.871729	-0.000525
0.003530	-0.670799	-0.695020	-0.854413	-0.000488
-0.007044	-0.620873	-0.773866	-0.859881	-0.000445
-0.005467	-0.641182	-0.718674	-0.839830	-0.000572
0.001121	-0.656414	-0.821173	-0.930972	-0.000472
0.004361	-0.627642	-0.821173	-0.858970	-0.000488
-0.004955	-0.636105	-0.866729	-0.815222	-0.000459
0.001867	-0.680108	-0.772114	-0.770562	-0.000633
0.004830	-0.627642	-0.757221	-0.847121	-0.000527
-0.001970	-0.614949	-0.688012	-0.652078	-0.000601
0.000247	-0.647105	-0.774742	-0.812487	-0.000577
0.002123	-0.638643	-0.765981	-0.828893	-0.000562
-0.004614	-0.769806	-0.857092	-0.949200	-0.000546
0.000865	-0.450784	-0.658226	-0.706763	-0.000510
0.003104	-0.705494	-0.821173	-0.817956	-0.000564
-0.004422	-0.664876	-0.769486	-0.800639	-0.000481
-0.000904	-0.557407	-0.733567	-0.798816	-0.000708
0.004255	-0.456708	-0.672243	-0.768739	-0.000558
-0.001928	-0.579408	-0.756345	-0.703117	-0.000616
-0.004401	-0.730880	-0.807156	-0.867172	-0.000597
-0.000691	-0.586178	-0.822049	-0.810665	-0.000507
-0.002503	-0.628489	-0.802776	-0.784233	-0.000626
-0.005125	-0.627642	-0.759849	-0.768739	-0.000503
0.000822	-0.449092	-0.666986	-0.629292	-0.000575
-0.000478	-0.581101	-0.753717	-0.874464	-0.000561
-0.001864	-0.662337	-0.822925	-0.904540	-0.000594
-0.001821	-0.730034	-0.847455	-0.885401	-0.000502
0.002187	-0.648798	-0.853588	-0.762359	-0.000515
0.000652	-0.631873	-0.732691	-0.827981	-0.000578
-0.000649	-0.707186	-0.795768	-0.804285	-0.000496
0.002485	-0.600564	-0.778246	-0.765094	-0.000464
0.002123	-0.615795	-0.693268	-0.790613	-0.000496
0.000588	-0.707186	-0.769486	-0.847121	-0.000540
-0.006277	-0.674184	-0.753717	-0.812487	-0.000452
-0.001011	-0.665722	-0.746708	-0.823424	-0.000561
0.000290	-0.592102	-0.712542	-0.739574	-0.000514
0.007581	-0.525251	-0.638953	-0.773296	-0.000511
-0.019899	-0.631027	-0.815041	-0.735017	-0.000576
-0.000926	-0.691954	-0.820297	-0.745954	-0.000529
0.005044	-0.686031	-0.807156	-0.847121	-0.000555
-0.002759	-0.607333	-0.728311	-0.789702	-0.000527
-0.001459	-0.668261	-0.715170	-0.711320	-0.000602
0.004937	-0.506634	-0.673995	-0.754157	-0.000498
-0.006447	-0.650490	-0.739700	-0.745954	-0.000487
-0.004955	-0.757959	-0.901771	-0.870818	-0.000499
0.002762	-0.652183	-0.801900	-0.932794	-0.000558
-0.002397	-0.610718	-0.616175	-0.696737	-0.000506
-0.004848	-0.581101	-0.730063	-0.745042	-0.000574
0.003722	-0.737650	-0.886002	-0.864438	-0.000544
-0.004081	-0.768960	-0.866729	-0.873552	-0.000522
-0.005360	-0.649644	-0.796644	-0.756891	-0.000642
0.001142	-0.636105	-0.801900	-0.838007	-0.000512
-0.001331	-0.544714	-0.659978	-0.776942	-0.000512
-0.010221	-0.631027	-0.779998	-0.844387	-0.000518
0.000290	-0.761344	-0.790511	-0.765094	-0.000600
-0.003569	-0.628489	-0.771238	-0.766916	-0.000585
-0.005168	-0.744420	-0.801024	-0.863527	-0.000523
0.001824	-0.644567	-0.718674	-0.734105	-0.000544
0.001888	-0.619180	-0.799272	-0.800639	-0.000566
-0.002930	-0.614949	-0.757221	-0.820690	-0.000456
0.001100	-0.581947	-0.751088	-0.796993	-0.000435
0.001377	-0.581947	-0.716046	-0.798816	-0.000550
-0.001139	-0.684339	-0.808908	-0.889046	-0.000489
0.000204	-0.642028	-0.870233	-0.847121	-0.000500
0.003828	-0.609026	-0.667863	-0.788790	-0.000440
-0.000414	-0.710571	-0.732691	-0.841653	-0.000575
0.001824	-0.629335	-0.827306	-0.855324	-0.000611
-0.002205	-0.640336	-0.807156	-0.972897	-0.000585
-0.002652	-0.569254	-0.670491	-0.804285	-0.000663
0.000737	-0.625950	-0.700277	-0.673952	-0.000531
0.004191	-0.708879	-0.763353	-0.946466	-0.000543
-0.002567	-0.559946	-0.777370	-0.793348	-0.000490
0.000716	-0.532021	-0.677499	-0.745042	-0.000551
0.003253	-0.716495	-0.791387	-0.901806	-0.000496
-0.005147	-0.763036	-0.823801	-0.802462	-0.000531
-0.000883	-0.613257	-0.841323	-0.806107	-0.000641
0.006301	-0.565023	-0.736195	-0.644787	-0.000506
-0.001949	-0.469401	-0.692392	-0.724080	-0.000591
-0.002780	-0.705494	-0.831686	-0.858058	-0.000580
0.005235	-0.630181	-0.779122	-0.715877	-0.000446
-0.004038	-0.620873	-0.709037	-0.674863	-0.000528
-0.003804	-0.700417	-0.743204	-0.702206	-0.000666
0.001995	-0.597179	-0.732691	-0.735017	-0.000569
-0.001395	-0.541329	-0.592521	-0.684889	-0.000543
-0.007854	-0.654721	-0.779122	-0.792436	-0.000564
-0.001075	-0.856119	-0.854464	-0.943731	-0.000504
-0.009005	-0.647951	-0.729187	-0.773296	-0.000545
-0.003207	-0.609872	-0.662606	-0.753245	-0.000458
0.000183	-0.718187	-0.788759	-0.802462	-0.000601
-0.002567	-0.531174	-0.713418	-0.784233	-0.000464
-0.000606	-0.545560	-0.702905	-0.779676	-0.000568
-0.000627	-0.617488	-0.863224	-0.831627	-0.000511
-0.003271	-0.685185	-0.704657	-0.881755	-0.000604
0.000076	-0.555715	-0.687136	-0.688535	-0.000600
-0.000990	-0.699570	-0.744080	-0.774208	-0.000505
-0.002610	-0.581101	-0.733567	-0.779676	-0.000552
-0.003036	-0.717341	-0.807156	-0.862615	-0.000512
-0.001245	-0.712264	-0.777370	-0.894515	-0.000563
0.002528	-0.675876	-0.711666	-0.786056	-0.000501
-0.003910	-0.684339	-0.769486	-0.867172	-0.000545
-0.002695	-0.664876	-0.775618	-0.778765	-0.000453
0.001313	-0.658952	-0.743204	-0.774208	-0.000550
-0.003505	-0.707186	-0.666110	-0.802462	-0.000537
-0.000904	-0.665722	-0.708161	-0.766005	-0.000653
0.003146	-0.695339	-0.777370	-0.823424	-0.000604
0.002251	-0.576024	-0.669615	-0.668483	-0.000482
-0.002823	-0.691108	-0.780874	-0.722257	-0.000532
0.000290	-0.737650	-0.824678	-0.902718	-0.000477
0.001185	-0.589563	-0.730063	-0.785145	-0.000534
-0.003889	-0.669107	-0.772990	-0.749600	-0.000498
0.001014	-0.551483	-0.683632	-0.814310	-0.000555
0.001611	-0.594640	-0.622307	-0.769651	-0.000529
-0.004230	-0.600564	-0.736195	-0.665749	-0.000512
-0.001267	-0.585332	-0.723054	-0.746865	-0.000538
0.000119	-0.568408	-0.751088	-0.774208	-0.000562
-0.005424	-0.574331	-0.709913	-0.751422	-0.000580
0.001675	-0.659798	-0.669615	-0.771474	-0.000668
0.001334	-0.692801	-0.688012	-0.888135	-0.000597
-0.010050	-0.820578	-0.812413	-0.887224	-0.000494
-0.001203	-0.730034	-0.817669	-0.906363	-0.000607
0.003359	-0.531174	-0.655598	-0.783322	-0.000492
-0.003441	-0.575177	-0.709037	-0.704029	-0.000478
0.000481	-0.632720	-0.765105	-0.681243	-0.000564
0.000524	-0.790961	-0.927177	-0.876287	-0.000485
-0.002802	-0.729188	-0.815917	-0.809753	-0.000468
0.000716	-0.683492	-0.809785	-0.768739	-0.000514
0.003892	-0.661491	-0.779998	-0.907275	-0.000551
-0.005616	-0.825656	-0.850959	-0.912743	-0.000448
0.002507	-0.538790	-0.634572	-0.642964	-0.000518
0.005982	-0.700417	-0.830810	-0.823424	-0.000543
-0.004806	-0.518481	-0.627564	-0.751422	-0.000647
-0.000542	-0.759651	-0.848331	-0.824336	-0.000561
0.006962	-0.631027	-0.815041	-0.889958	-0.000486
-0.004955	-0.620873	-0.828182	-0.826159	-0.000578
0.000034	-0.567561	-0.667863	-0.733194	-0.000508
0.006706	-0.636105	-0.640705	-0.716789	-0.000568
-0.004870	-0.675876	-0.746708	-0.722257	-0.000497
0.001313	-0.658106	-0.732691	-0.769651	-0.000524
0.007687	-0.598871	-0.664358	-0.687623	-0.000510
-0.005211	-0.591255	-0.776494	-0.877198	-0.000499
-0.000947	-0.591255	-0.751964	-0.773296	-0.000515
0.007836	-0.477863	-0.617051	-0.755068	-0.000505
-0.003185	-0.731726	-0.630192	-0.777853	-0.000544
-0.003121	-0.589563	-0.744956	-0.710409	-0.000505
0.004809	-0.669953	-0.798396	-0.892692	-0.000583
-0.004507	-0.746112	-0.765105	-0.873552	-0.000536
-0.006277	-0.661491	-0.676623	-0.718611	-0.000587
0.003253	-0.660645	-0.639829	-0.728637	-0.000536
-0.003996	-0.675876	-0.859720	-0.831627	-0.000577
-0.006063	-0.781653	-0.864976	-0.999328	-0.000445
0.003743	-0.625104	-0.773866	-0.824336	-0.000572
-0.000243	-0.583639	-0.803652	-0.767828	-0.000539
-0.001416	-0.490556	-0.644209	-0.676686	-0.000539
-0.007172	-0.756266	-0.792263	-0.787879	-0.000618
0.001462	-0.573485	-0.760725	-0.735928	-0.000524
-0.000585	-0.626796	-0.774742	-0.855324	-0.000570
0.003594	-0.525251	-0.568868	-0.673040	-0.000494
0.001782	-0.585332	-0.753717	-0.733194	-0.000542
-0.004038	-0.676723	-0.915788	-0.854413	-0.000490
-0.001395	-0.753728	-0.875489	-0.934617	-0.000528
0.004766	-0.570946	-0.770362	-0.837096	-0.000548
-0.003292	-0.603949	-0.717798	-0.792436	-0.000580
-0.003761	-0.755420	-0.804528	-0.922769	-0.000485
0.004425	-0.610718	-0.784379	-0.828893	-0.000517
-0.004422	-0.728342	-0.814165	-0.920946	-0.000535
-0.003996	-0.753728	-0.803652	-0.897249	-0.000473
0.004830	-0.617488	-0.747584	-0.681243	-0.000495
-0.002589	-0.624258	-0.690640	-0.781499	-0.000508
-0.000457	-0.635258	-0.697649	-0.812487	-0.000572
0.001782	-0.665722	-0.701153	-0.779676	-0.000524
-0.002290	-0.675030	-0.705533	-0.798816	-0.000557
-0.004230	-0.724110	-0.770362	-0.904540	-0.000506
0.001270	-0.730034	-0.817669	-0.752334	-0.000634
-0.003932	-0.692801	-0.740576	-0.786056	-0.000627
-0.003612	-0.620873	-0.677499	-0.785145	-0.000513
-0.000179	-0.654721	-0.760725	-0.766005	-0.000496
-0.001352	-0.640336	-0.668739	-0.762359	-0.000457
-0.006063	-0.648798	-0.823801	-0.928237	-0.000550
0.003274	-0.610718	-0.775618	-0.827070	-0.000510
-0.001928	-0.714802	-0.772114	-0.873552	-0.000551
-0.003356	-0.660645	-0.681880	-0.760537	-0.000547
0.004383	-0.594640	-0.637200	-0.637495	-0.000546
0.001888	-0.650490	-0.706409	-0.741397	-0.000542
-0.000052	-0.667414	-0.757221	-0.719523	-0.000523
-0.000393	-0.723264	-0.748460	-0.860792	-0.000525
0.000886	-0.691108	-0.781751	-0.867172	-0.000502
-0.004251	-0.719879	-0.786131	-0.900895	-0.000601
0.000481	-0.791807	-0.854464	-0.831627	-0.000506
0.003061	-0.649644	-0.772990	-0.753245	-0.000588
-0.000691	-0.661491	-0.701153	-0.747777	-0.000491
0.001334	-0.546406	-0.701153	-0.681243	-0.000459
0.008092	-0.503249	-0.639829	-0.637495	-0.000560
-0.003079	-0.662337	-0.760725	-0.811576	-0.000530
-0.001714	-0.637797	-0.787883	-0.840741	-0.000518
0.007303	-0.631027	-0.737071	-0.711320	-0.000491
-0.003356	-0.635258	-0.678375	-0.767828	-0.000580
0.001441	-0.550637	-0.673995	-0.698560	-0.000538
0.004511	-0.773191	-0.763353	-0.769651	-0.000556
-0.003100	-0.725803	-0.728311	-0.838007	-0.000530
-0.006916	-0.792654	-0.712542	-0.732283	-0.000552
