Time domain signal
Samplerate: 100000 Samples/sec
Col 1 [N]	Model: Hammer PCB 056E80	SerialNr.: 27038	Sensitivity: 0,023300000  [V/N]	PreampGain: 10,0	SensorPosition: Bridge_left_top	
Col 2 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 82951	Sensitivity: 0,000587000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Bridge_left_top	
Col 3 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 82745	Sensitivity: 0,000567000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Bridge_right_top	
Col 4 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 125624	Sensitivity: 0,000545000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Cello Body	
Col 5 [m/s]	Model: Polytec IVS-400	SerialNr.: 0170642	Sensitivity: 40,000000000  [V/m/s]	PreampGain: 1,0	SensorPosition: Bridge_right_top	
DataLines: 114688
Col 1 [N]	Col 2 [m/s^2]	Col 3 [m/s^2]	Col 4 [m/s^2]	Col 5 [m/s]	
-0.024994	-0.508327	-0.156243	-0.757802	-0.000495
-0.020965	-0.546406	-0.104555	-0.766005	-0.000514
-0.016296	-0.527790	-0.193913	-0.709497	-0.000538
-0.031561	-0.526943	-0.075645	-0.637495	-0.000578
-0.022543	-0.445707	-0.226328	-0.692180	-0.000655
-0.017597	-0.621719	-0.150110	-0.739574	-0.000587
-0.012352	-0.433860	-0.153614	-0.687623	-0.000599
-0.022159	-0.516789	-0.081777	-0.791525	-0.000534
-0.016680	-0.493095	0.016342	-0.621090	-0.000584
-0.011692	-0.442322	-0.009940	-0.627470	-0.000452
-0.020155	-0.405089	-0.065132	-0.636584	-0.000566
-0.017213	-0.484633	-0.138721	-0.600127	-0.000554
-0.014292	-0.494787	-0.151862	-0.714054	-0.000665
-0.021370	-0.471093	0.035615	-0.710409	-0.000591
-0.017874	-0.532867	-0.132589	-0.624735	-0.000662
-0.011777	-0.507481	-0.072141	-0.625647	-0.000541
-0.022031	-0.532867	-0.119448	-0.740485	-0.000553
-0.020581	-0.600564	-0.138721	-0.730460	-0.000606
-0.013951	-0.587871	-0.084406	-0.641141	-0.000506
-0.016446	-0.430475	-0.073893	-0.686712	-0.000557
-0.020368	-0.532021	-0.058124	-0.634761	-0.000536
-0.013973	-0.521866	-0.052867	-0.589190	-0.000497
-0.020219	-0.366163	0.017218	-0.672129	-0.000528
-0.022500	-0.460093	-0.154490	-0.623824	-0.000596
-0.015742	-0.504096	-0.067760	-0.699472	-0.000561
-0.009048	-0.538790	-0.080901	-0.737751	-0.000543
-0.020731	-0.445707	0.025102	-0.717700	-0.000516
-0.019878	-0.641182	-0.228956	-0.881755	-0.000660
-0.017767	-0.710571	-0.142226	-0.914566	-0.000648
-0.018855	-0.381395	0.025978	-0.513542	-0.000544
-0.014591	-0.427937	-0.044107	-0.629292	-0.000596
-0.013632	-0.454169	-0.127333	-0.707674	-0.000607
-0.020901	-0.551483	-0.137845	-0.789702	-0.000590
-0.015870	-0.608180	-0.142226	-0.706763	-0.000525
-0.014378	-0.561638	-0.179020	-0.735928	-0.000613
-0.020283	-0.524405	-0.163251	-0.697649	-0.000456
-0.017341	-0.538790	-0.108935	-0.651166	-0.000526
-0.009453	-0.451631	-0.054619	-0.603773	-0.000588
-0.019771	-0.515943	-0.073017	-0.688535	-0.000528
-0.018364	-0.595486	-0.134341	-0.696737	-0.000592
