Time domain signal
Samplerate: 100000 Samples/sec
Col 1 [N]	Model: Hammer PCB 056E80	SerialNr.: 27038	Sensitivity: 0,023300000  [V/N]	PreampGain: 10,0	SensorPosition: Bridge_left_top	
Col 2 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 82951	Sensitivity: 0,000587000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Bridge_left_top	
Col 3 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 82745	Sensitivity: 0,000567000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Bridge_right_top	
Col 4 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 125624	Sensitivity: 0,000545000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Cello Body	
Col 5 [m/s]	Model: Polytec IVS-400	SerialNr.: 0170642	Sensitivity: 40,000000000  [V/m/s]	PreampGain: 1,0	SensorPosition: Bridge_right_top	
DataLines: 114688
Col 1 [N]	Col 2 [m/s^2]	Col 3 [m/s^2]	Col 4 [m/s^2]	Col 5 [m/s]	
-0.023012	-1.170910	-0.659102	-1.168852	-0.000446
-0.017533	-1.023669	-0.594273	-1.000239	-0.000472
-0.021306	-0.982205	-0.639829	-0.976542	-0.000593
-0.031518	-1.220836	-0.682756	-1.126926	-0.000492
-0.020645	-1.177679	-0.633696	-1.021202	-0.000557
-0.020667	-1.111675	-0.603034	-0.938263	-0.000483
-0.023587	-1.005899	-0.569744	-0.924592	-0.000523
-0.021328	-1.148062	-0.666986	-1.114167	-0.000523
-0.019580	-1.095597	-0.690640	-1.030316	-0.000544
-0.022223	-0.983051	-0.561859	-0.842564	-0.000593
-0.019835	-1.034670	-0.614423	-0.889046	-0.000559
-0.018961	-1.076980	-0.610042	-0.952846	-0.000488
-0.020070	-1.176833	-0.732691	-1.078621	-0.000523
-0.018066	-1.153986	-0.590769	-0.946466	-0.000609
-0.016701	-1.004206	-0.567115	-0.961048	-0.000524
-0.023523	-1.148908	-0.687136	-1.046722	-0.000584
-0.022180	-1.225067	-0.752841	-1.094115	-0.000499
-0.012949	-1.020284	-0.624936	-0.927326	-0.000487
-0.023609	-1.094751	-0.644209	-0.940997	-0.000555
-0.015572	-1.125214	-0.791387	-1.007531	-0.000617
-0.014037	-1.062595	-0.608290	-0.956491	-0.000604
-0.020816	-1.072749	-0.592521	-0.968340	-0.000465
-0.018855	-1.198835	-0.729187	-1.091381	-0.000464
-0.015529	-1.177679	-0.692392	-1.063127	-0.000496
-0.023502	-1.098136	-0.564487	-0.997505	-0.000578
-0.020709	-1.148062	-0.551346	-1.048544	-0.000497
-0.015060	-0.955126	-0.516304	-0.917300	-0.000603
-0.021925	-1.082058	-0.511048	-0.938263	-0.000496
-0.020262	-1.041439	-0.504915	-0.952846	-0.000510
-0.015955	-1.077827	-0.630192	-0.993859	-0.000582
-0.022799	-1.006745	-0.545214	-0.935529	-0.000487
-0.024632	-1.128599	-0.614423	-0.984745	-0.000552
-0.011244	-1.035516	-0.585513	-0.937352	-0.000507
-0.022351	-0.942433	-0.553975	-0.966517	-0.000608
-0.024760	-1.096443	-0.570620	-0.967428	-0.000534
-0.016787	-1.049902	-0.552222	-0.954668	-0.000588
-0.021775	-0.955126	-0.532073	-0.834361	-0.000500
-0.024206	-1.080365	-0.522436	-1.022113	-0.000588
-0.018535	-1.101520	-0.644209	-0.938263	-0.000588
-0.018279	-1.056671	-0.518056	-0.957403	-0.000517
-0.021626	-1.098982	-0.573248	-0.982011	-0.000589
-0.017490	-1.084596	-0.598654	-0.989302	-0.000684
-0.018855	-1.150601	-0.573248	-0.918212	-0.000624
-0.022735	-1.088827	-0.619679	-0.908186	-0.000579
-0.016872	-1.008437	-0.525941	-0.950111	-0.000626
-0.017938	-1.067672	-0.537329	-0.920946	-0.000547
-0.021754	-1.093905	-0.639829	-0.993859	-0.000607
-0.018663	-1.118445	-0.767734	-1.094115	-0.000539
-0.017426	-1.014361	-0.555727	-0.880844	-0.000476
-0.023396	-1.027054	-0.543462	-0.920035	-0.000607
-0.016446	-1.089673	-0.593397	-0.875375	-0.000553
-0.015124	-1.041439	-0.567992	-0.953757	-0.000573
-0.023929	-1.064287	-0.606538	-1.043076	-0.000523
-0.019452	-1.085442	-0.544338	-0.979277	-0.000599
-0.014825	-1.086289	-0.610919	-0.902718	-0.000534
-0.029280	-1.146370	-0.705533	-1.032139	-0.000458
-0.021136	-1.157370	-0.638953	-0.925503	-0.000481
-0.018087	-1.071903	-0.726559	-1.046722	-0.000602
-0.027936	-1.178526	-0.692392	-1.034873	-0.000495
-0.021605	-1.127753	-0.716922	-0.979277	-0.000520
-0.016957	-1.161601	-0.566239	-0.929149	-0.000516
-0.027276	-1.074442	-0.553975	-0.938263	-0.000521
-0.025485	-1.153986	-0.745832	-1.057659	-0.000535
-0.017512	-1.098982	-0.604786	-1.009354	-0.000553
-0.023502	-1.038055	-0.504039	-0.894515	-0.000628
-0.023225	-0.938202	-0.544338	-0.897249	-0.000498
-0.020198	-1.109983	-0.758097	-0.975631	-0.000554
-0.022841	-1.071057	-0.636324	-0.966517	-0.000510
-0.016062	-0.922970	-0.439210	-0.812487	-0.000536
-0.021861	-1.112521	-0.624059	-0.922769	-0.000513
-0.021349	-0.975435	-0.467244	-0.930972	-0.000618
-0.017469	-1.022823	-0.591645	-0.914566	-0.000558
-0.022180	-0.989821	-0.717798	-1.081355	-0.000444
-0.021114	-1.123522	-0.585513	-1.051279	-0.000536
-0.013568	-1.023669	-0.525941	-1.023936	-0.000465
-0.018386	-0.939048	-0.452351	-0.818867	-0.000611
-0.019174	-1.065133	-0.449723	-0.874464	-0.000550
-0.016851	-1.048209	-0.567115	-1.107787	-0.000474
-0.020667	-1.077827	-0.611795	-1.085001	-0.000547
-0.020795	-1.018592	-0.514552	-0.970163	-0.000549
-0.018684	-1.113367	-0.567992	-1.009354	-0.000500
-0.020923	-1.211528	-0.760725	-0.913655	-0.000544
-0.016147	-1.018592	-0.580256	-0.926415	-0.000557
-0.019921	-0.961049	-0.601282	-0.999328	-0.000479
-0.019153	-1.094751	-0.638953	-0.936440	-0.000583
-0.014761	-1.163294	-0.572372	-0.881755	-0.000516
-0.019473	-1.010976	-0.545214	-0.982922	-0.000590
-0.022287	-1.174295	-0.657350	-1.022113	-0.000519
-0.018748	-1.154832	-0.691516	-1.043987	-0.000601
-0.021925	-1.013515	-0.591645	-0.923680	-0.000590
-0.020795	-0.997437	-0.481261	-0.859881	-0.000577
-0.015230	-0.944971	-0.460236	-0.771474	-0.000585
-0.018897	-1.011822	-0.461112	-0.876287	-0.000577
-0.024611	-1.104905	-0.610042	-0.945554	-0.000582
-0.015316	-1.027054	-0.614423	-0.992948	-0.000499
-0.018684	-0.955972	-0.575000	-0.967428	-0.000514
-0.024632	-1.021130	-0.575000	-0.991125	-0.000541
-0.018172	-0.993205	-0.666110	-1.038519	-0.000544
-0.018599	-1.021130	-0.639829	-0.997505	-0.000467
-0.024461	-1.049902	-0.570620	-1.012999	-0.000585
-0.019793	-1.123522	-0.609166	-1.048544	-0.000524
-0.018578	-1.076980	-0.621431	-1.069507	-0.000490
-0.024611	-1.107444	-0.658226	-1.078621	-0.000524
-0.018343	-1.002514	-0.643333	-0.953757	-0.000547
-0.017426	-1.016899	-0.542586	-0.932794	-0.000627
-0.024291	-1.091366	-0.631068	-0.921857	-0.000531
-0.019281	-1.069364	-0.702905	-1.014822	-0.000597
-0.016360	-1.057517	-0.727435	-1.004796	-0.000502
-0.020645	-1.114214	-0.663482	-0.960137	-0.000560
-0.018109	-1.103213	-0.535577	-0.943731	-0.000539
-0.040514	-1.102367	-0.721302	-0.955580	-0.000543
-0.021051	-1.076134	-0.726559	-1.031228	-0.000597
-0.017469	-0.967819	-0.669615	-0.876287	-0.000495
-0.023673	-0.964434	-0.553098	-0.877198	-0.000537
-0.025080	-1.098136	-0.556603	-0.939174	-0.000534
-0.019622	-1.054133	-0.645961	-0.924592	-0.000624
-0.019366	-1.075288	-0.637200	-1.058570	-0.000485
-0.025719	-1.079519	-0.708161	-1.067684	-0.000592
-0.020304	-1.117598	-0.712542	-0.949200	-0.000518
-0.018258	-0.950895	-0.505791	-0.947377	-0.000677
-0.026380	-1.085442	-0.639829	-0.927326	-0.000553
-0.020645	-0.968665	-0.582009	-0.924592	-0.000555
-0.019409	-1.000821	-0.532949	-0.903629	-0.000547
-0.022351	-1.024515	-0.491774	-0.950111	-0.000498
-0.024461	-1.150601	-0.729187	-1.092292	-0.000605
-0.016893	-1.027900	-0.485642	-0.928237	-0.000529
-0.023310	-1.082904	-0.701153	-0.967428	-0.000642
-0.025975	-1.102367	-0.774742	-1.046722	-0.000549
-0.021733	-1.127753	-0.686260	-0.975631	-0.000491
-0.023950	-1.054979	-0.603034	-1.004796	-0.000454
-0.024419	-1.020284	-0.612671	-0.889958	-0.000503
-0.018514	-1.053286	-0.631944	-0.875375	-0.000467
-0.020390	-0.991513	-0.686260	-0.809753	-0.000611
-0.027425	-1.165832	-0.734443	-1.074064	-0.000556
-0.020432	-1.068518	-0.725683	-1.043987	-0.000542
-0.022074	-1.029593	-0.683632	-0.985657	-0.000544
-0.021178	-0.957665	-0.594273	-0.889958	-0.000565
-0.017917	-1.054133	-0.567992	-0.925503	-0.000577
-0.013440	-1.037208	-0.588141	-0.912743	-0.000508
-0.016595	-1.153139	-0.681003	-0.955580	-0.000617
-0.019643	-1.062595	-0.618803	-0.910009	-0.000534
-0.012416	-1.002514	-0.603910	-0.980188	-0.000567
-0.022756	-1.070211	-0.607414	-0.904540	-0.000446
-0.020027	-1.123522	-0.681003	-1.007531	-0.000520
-0.013035	-1.113367	-0.634572	-0.950111	-0.000615
-0.022628	-0.963588	-0.555727	-0.986568	-0.000579
-0.019558	-1.194604	-0.637200	-1.094115	-0.000653
-0.015337	-1.230144	-0.730063	-1.098672	-0.000514
-0.023204	-1.027054	-0.707285	-1.030316	-0.000531
