Time domain signal
Samplerate: 100000 Samples/sec
Col 1 [N]	Model: Hammer PCB 056E80	SerialNr.: 27038	Sensitivity: 0,023300000  [V/N]	PreampGain: 10,0	SensorPosition: Bridge_left_top	
Col 2 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 82951	Sensitivity: 0,000587000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Bridge_left_top	
Col 3 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 82745	Sensitivity: 0,000567000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Bridge_right_top	
Col 4 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 125624	Sensitivity: 0,000545000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Cello Body	
Col 5 [m/s]	Model: Polytec IVS-400	SerialNr.: 0170642	Sensitivity: 40,000000000  [V/m/s]	PreampGain: 1,0	SensorPosition: Bridge_right_top	
DataLines: 114688
Col 1 [N]	Col 2 [m/s^2]	Col 3 [m/s^2]	Col 4 [m/s^2]	Col 5 [m/s]	
-0.018172	-0.645413	-0.212311	-0.622913	-0.000478
-0.013546	-0.663183	-0.313934	-0.691269	-0.000592
-0.012672	-0.742727	-0.279767	-0.707674	-0.000465
-0.017512	-0.576870	-0.173764	-0.592836	-0.000516
-0.014570	-0.576024	-0.264874	-0.592836	-0.000485
-0.015167	-0.699570	-0.336711	-0.701294	-0.000528
-0.019409	-0.686877	-0.289404	-0.578253	-0.000563
-0.038063	-0.686031	-0.176392	-0.558202	-0.000491
-0.018023	-0.776576	-0.308677	-0.735017	-0.000559
-0.017277	-0.692801	-0.322694	-0.663015	-0.000525
-0.028683	-0.763036	-0.347224	-0.663926	-0.000536
-0.017597	-0.727495	-0.325322	-0.713143	-0.000548
-0.018236	-0.741881	-0.208806	-0.632027	-0.000497
-0.023715	-0.692801	-0.208806	-0.659369	-0.000569
-0.015145	-0.709725	-0.338463	-0.590101	-0.000483
-0.015380	-0.588717	-0.193037	-0.624735	-0.000503
-0.021392	-0.560792	-0.166755	-0.540885	-0.000458
-0.018364	-0.755420	-0.378762	-0.743220	-0.000484
-0.014484	-0.614949	-0.272759	-0.647521	-0.000471
-0.016616	-0.625950	-0.109811	-0.539062	-0.000524
-0.015614	-0.767267	-0.266626	-0.683977	-0.000511
-0.013823	-0.704648	-0.333207	-0.762359	-0.000487
-0.022521	-0.718187	-0.242973	-0.687623	-0.000492
-0.016339	-0.697032	-0.292032	-0.747777	-0.000521
-0.013930	-0.755420	-0.301669	-0.616533	-0.000585
-0.018556	-0.641182	-0.263122	-0.615621	-0.000486
-0.013909	-0.751189	-0.377886	-0.683977	-0.000571
-0.010519	-0.719033	-0.257866	-0.751422	-0.000456
-0.017021	-0.643720	-0.228956	-0.672129	-0.000414
-0.016318	-0.836656	-0.419937	-0.792436	-0.000488
-0.011564	-0.722418	-0.303421	-0.791525	-0.000464
-0.019601	-0.767267	-0.292032	-0.711320	-0.000514
-0.013376	-0.708879	-0.171136	-0.601950	-0.000469
-0.008238	-0.626796	-0.256990	-0.647521	-0.000515
-0.019622	-0.826502	-0.340216	-0.848033	-0.000508
-0.018961	-0.779114	-0.447095	-0.766005	-0.000449
-0.011926	-0.778268	-0.313934	-0.729548	-0.000505
-0.019985	-0.714802	-0.139597	-0.675775	-0.000551
-0.014804	-0.543021	-0.179896	-0.501694	-0.000502
-0.011137	-0.620873	-0.253485	-0.673952	-0.000557
-0.018961	-0.664030	-0.245601	-0.615621	-0.000586
-0.019388	-0.682646	-0.359489	-0.652989	-0.000483
-0.011244	-0.745266	-0.252609	-0.700383	-0.000562
-0.019643	-0.690262	-0.359489	-0.681243	-0.000471
-0.023310	-0.763882	-0.283272	-0.802462	-0.000613
-0.016105	-0.759651	-0.397160	-0.644787	-0.000539
-0.017831	-0.720726	-0.362117	-0.772385	-0.000551
-0.021775	-0.595486	-0.198294	-0.611064	-0.000471
-0.013461	-0.690262	-0.334959	-0.739574	-0.000474
-0.016403	-0.726649	-0.225451	-0.673952	-0.000533
-0.025336	-0.710571	-0.267502	-0.720434	-0.000431
-0.014698	-0.669107	-0.282395	-0.622913	-0.000566
-0.014143	-0.687723	-0.204426	-0.683977	-0.000437
-0.026210	-0.764729	-0.286776	-0.684889	-0.000481
-0.014655	-0.672492	-0.181648	-0.637495	-0.000485
-0.015785	-0.724110	-0.336711	-0.709497	-0.000493
-0.023225	-0.752035	-0.298165	-0.648432	-0.000498
-0.015870	-0.750343	-0.223699	-0.710409	-0.000491
-0.011031	-0.743573	-0.325322	-0.743220	-0.000536
-0.023822	-0.743573	-0.341092	-0.735928	-0.000497
-0.016510	-0.761344	-0.446219	-0.736840	-0.000551
-0.011926	-0.811270	-0.396283	-0.750511	-0.000439
-0.022159	-0.691108	-0.227204	-0.634761	-0.000545
-0.015763	-0.676723	-0.353356	-0.736840	-0.000504
-0.011116	-0.627642	-0.275387	-0.525391	-0.000574
-0.022905	-0.635258	-0.185153	-0.562759	-0.000532
-0.015529	-0.687723	-0.241221	-0.669395	-0.000489
-0.013482	-0.693647	-0.387523	-0.724080	-0.000541
-0.024589	-0.774883	-0.259618	-0.614710	-0.000444
-0.018663	-0.728342	-0.314810	-0.782411	-0.000406
-0.014335	-0.724957	-0.312182	-0.731371	-0.000481
-0.020390	-0.597179	-0.165879	-0.577342	-0.000532
-0.015465	-0.596333	-0.146606	-0.460680	-0.000464
-0.013674	-0.765575	-0.235088	-0.649344	-0.000501
-0.023566	-0.755420	-0.338463	-0.768739	-0.000545
-0.022927	-0.791807	-0.336711	-0.728637	-0.000645
-0.016595	-0.598025	-0.287652	-0.623824	-0.000586
-0.019089	-0.705494	-0.278015	-0.716789	-0.000461
-0.019111	-0.746958	-0.226328	-0.667572	-0.000541
-0.015614	-0.805347	-0.283272	-0.743220	-0.000486
-0.014676	-0.647105	-0.181648	-0.599216	-0.000557
-0.012480	-0.669107	-0.281519	-0.642964	-0.000557
-0.016936	-0.722418	-0.235088	-0.699472	-0.000539
-0.016552	-0.686877	-0.306925	-0.650255	-0.000525
-0.002525	-0.578562	-0.186029	-0.508074	-0.000511
-0.015337	-0.656414	-0.292908	-0.526302	-0.000501
-0.017448	-0.658106	-0.256114	-0.773296	-0.000500
-0.014548	-0.746112	-0.213187	-0.652078	-0.000533
-0.016041	-0.648798	-0.226328	-0.572785	-0.000437
-0.013951	-0.698724	-0.251733	-0.675775	-0.000585
-0.015316	-0.642028	-0.179896	-0.677598	-0.000494
-0.016893	-0.812963	-0.373506	-0.766916	-0.000532
-0.011564	-0.712264	-0.270131	-0.643875	-0.000523
-0.015678	-0.558253	-0.139597	-0.548176	-0.000562
-0.016446	-0.729188	-0.197417	-0.654812	-0.000453
-0.011521	-0.689416	-0.221071	-0.595570	-0.000449
-0.016510	-0.662337	-0.138721	-0.639318	-0.000498
-0.018684	-0.666568	-0.340216	-0.712231	-0.000478
-0.012225	-0.765575	-0.320942	-0.665749	-0.000446
-0.017277	-0.756266	-0.293784	-0.668483	-0.000502
-0.018236	-0.800269	-0.291156	-0.735928	-0.000611
-0.012949	-0.713956	-0.217567	-0.642964	-0.000574
-0.016616	-0.771498	-0.315686	-0.742308	-0.000493
-0.020134	-0.689416	-0.323570	-0.669395	-0.000527
-0.011393	-0.709725	-0.193913	-0.564582	-0.000470
-0.014591	-0.716495	-0.175516	-0.650255	-0.000520
-0.024056	-0.660645	-0.271883	-0.696737	-0.000509
-0.017853	-0.918739	-0.378762	-0.817044	-0.000537
-0.018407	-0.829887	-0.342844	-0.852590	-0.000495
-0.023204	-0.699570	-0.214063	-0.570962	-0.000553
-0.014975	-0.735111	-0.278015	-0.639318	-0.000484
-0.015167	-0.707186	-0.278015	-0.735017	-0.000524
-0.020837	-0.676723	-0.296412	-0.565493	-0.000528
-0.014527	-0.705494	-0.263122	-0.653901	-0.000470
-0.013909	-0.681800	-0.276263	-0.586456	-0.000564
-0.020560	-0.772344	-0.283272	-0.782411	-0.000478
-0.014570	-0.708879	-0.319190	-0.693092	-0.000577
-0.016595	-0.740188	-0.297289	-0.735928	-0.000480
-0.020603	-0.711417	-0.198294	-0.647521	-0.000520
-0.015614	-0.702109	-0.244725	-0.693092	-0.000542
-0.022074	-0.753728	-0.296412	-0.690357	-0.000556
-0.020219	-0.868812	-0.306925	-0.706763	-0.000446
-0.017320	-0.801116	-0.384895	-0.781499	-0.000465
-0.011862	-0.735957	-0.271007	-0.663015	-0.000575
-0.022244	-0.681800	-0.284148	-0.697649	-0.000470
-0.015401	-0.757113	-0.339339	-0.673952	-0.000510
-0.013610	-0.802808	-0.237716	-0.646609	-0.000479
-0.019963	-0.640336	-0.243849	-0.583722	-0.000532
-0.016723	-0.722418	-0.270131	-0.734105	-0.000447
-0.012225	-0.646259	-0.167631	-0.634761	-0.000457
-0.019963	-0.674184	-0.221071	-0.632027	-0.000562
-0.016659	-0.763036	-0.266626	-0.663015	-0.000528
-0.013141	-0.669953	-0.275387	-0.729548	-0.000556
-0.022074	-0.732573	-0.244725	-0.735017	-0.000472
-0.018620	-0.658106	-0.269255	-0.619267	-0.000573
-0.015529	-0.757113	-0.309553	-0.764182	-0.000465
-0.021051	-0.664030	-0.340216	-0.662103	-0.000498
-0.022074	-0.880659	-0.451475	-0.796993	-0.000449
-0.010903	-0.822271	-0.352480	-0.791525	-0.000593
-0.021051	-0.787576	-0.263122	-0.773296	-0.000580
-0.023268	-0.818886	-0.358613	-0.742308	-0.000497
-0.016211	-0.734265	-0.214063	-0.663926	-0.000593
-0.015827	-0.636951	-0.166755	-0.567316	-0.000546
-0.018727	-0.577716	-0.093166	-0.589190	-0.000513
-0.017703	-0.814655	-0.279767	-0.738663	-0.000445
-0.019004	-0.736804	-0.330579	-0.652989	-0.000540
-0.019217	-0.746112	-0.351604	-0.751422	-0.000544
-0.017107	-0.779114	-0.370878	-0.742308	-0.000508
-0.013354	-0.831579	-0.384895	-0.771474	-0.000446
-0.017085	-0.709725	-0.246477	-0.742308	-0.000478
-0.014420	-0.696186	-0.285024	-0.591924	-0.000405
-0.012821	-0.671645	-0.198294	-0.698560	-0.000546
-0.018727	-0.729188	-0.252609	-0.672129	-0.000424
-0.016510	-0.617488	-0.193913	-0.567316	-0.000540
-0.009794	-0.680954	-0.346348	-0.642964	-0.000606
-0.020134	-0.636951	-0.230708	-0.700383	-0.000526
-0.017384	-0.833272	-0.247353	-0.703117	-0.000536
-0.009965	-0.759651	-0.389275	-0.694003	-0.000536
-0.019089	-0.722418	-0.264874	-0.580076	-0.000548
-0.018322	-0.720726	-0.277139	-0.692180	-0.000521
-0.010604	-0.779960	-0.249105	-0.593747	-0.000569
-0.017725	-0.712264	-0.200922	-0.521745	-0.000557
-0.018983	-0.659798	-0.205302	-0.535416	-0.000502
-0.013887	-0.841734	-0.380514	-0.735928	-0.000544
-0.018940	-0.734265	-0.218443	-0.712231	-0.000493
-0.023161	-0.757959	-0.231584	-0.620178	-0.000535
-0.016595	-0.804500	-0.357737	-0.683977	-0.000464
-0.018002	-0.697878	-0.171136	-0.704029	-0.000546
-0.021882	-0.671645	-0.327075	-0.642052	-0.000471
-0.017064	-0.772344	-0.299041	-0.825247	-0.000494
-0.017938	-0.806193	-0.217567	-0.707674	-0.000551
-0.019302	-0.697878	-0.093166	-0.558202	-0.000484
-0.025144	-0.720726	-0.242097	-0.660281	-0.000580
-0.016232	-0.745266	-0.346348	-0.711320	-0.000421
-0.018876	-0.578562	-0.196541	-0.565493	-0.000541
-0.020944	-0.753728	-0.373506	-0.778765	-0.000502
-0.015444	-0.649644	-0.215815	-0.629292	-0.000430
-0.019985	-0.683492	-0.276263	-0.628381	-0.000548
-0.019963	-0.730034	-0.357737	-0.674863	-0.000504
-0.017021	-0.788422	-0.467244	-0.789702	-0.000552
-0.020219	-0.760498	-0.327951	-0.722257	-0.000483
-0.020688	-0.694493	-0.299917	-0.714966	-0.000577
-0.014250	-0.718187	-0.235088	-0.722257	-0.000501
-0.021413	-0.765575	-0.292032	-0.732283	-0.000580
-0.022308	-0.867966	-0.428698	-0.838918	-0.000450
-0.012651	-0.774883	-0.284148	-0.649344	-0.000498
-0.020262	-0.723264	-0.246477	-0.673952	-0.000519
-0.019729	-0.616642	-0.235088	-0.639318	-0.000530
0.013550	-0.763882	-0.326199	-0.700383	-0.000586
-0.018450	-0.747804	-0.336711	-0.660281	-0.000515
-0.020112	-0.706340	-0.279767	-0.685800	-0.000530
-0.011606	-0.902661	-0.373506	-0.777853	-0.000468
-0.022927	-0.752882	-0.335835	-0.782411	-0.000513
-0.019771	-0.712264	-0.260494	-0.657546	-0.000430
-0.007193	-0.679261	-0.295536	-0.679420	-0.000648
-0.021221	-0.731726	-0.311305	-0.682155	-0.000585
-0.022692	-0.856119	-0.439210	-0.837096	-0.000500
-0.009410	-0.658106	-0.242097	-0.683977	-0.000586
-0.020880	-0.657260	-0.200922	-0.665749	-0.000479
-0.023566	-0.751189	-0.304297	-0.721346	-0.000467
-0.009048	-0.777422	-0.373506	-0.775119	-0.000480
-0.018514	-0.697878	-0.224575	-0.622001	-0.000550
-0.024589	-0.664030	-0.255238	-0.663926	-0.000528
-0.014761	-0.800269	-0.412053	-0.770562	-0.000560
-0.018172	-0.607333	-0.285900	-0.670306	-0.000531
-0.020795	-0.688570	-0.207930	-0.615621	-0.000499
-0.010562	-0.697878	-0.288528	-0.597393	-0.000467
-0.016616	-0.689416	-0.208806	-0.680332	-0.000512
-0.020901	-0.775729	-0.410300	-0.766916	-0.000515
-0.012395	-0.707186	-0.330579	-0.642964	-0.000509
-0.015486	-0.624258	-0.215815	-0.669395	-0.000553
-0.019302	-0.678415	-0.320066	-0.645698	-0.000527
-0.011820	-0.614103	-0.279767	-0.565493	-0.000555
-0.015934	-0.722418	-0.280643	-0.657546	-0.000531
-0.021839	-0.735957	-0.388399	-0.717700	-0.000530
-0.011500	-0.622565	-0.136093	-0.682155	-0.000482
-0.011777	-0.750343	-0.343720	-0.618355	-0.000483
-0.022479	-0.622565	-0.337587	-0.693092	-0.000525
-0.015145	-0.706340	-0.304297	-0.609241	-0.000479
-0.012182	-0.689416	-0.325322	-0.619267	-0.000573
-0.022138	-0.864581	-0.372630	-0.768739	-0.000491
-0.016744	-0.848503	-0.370878	-0.830716	-0.000576
-0.015167	-0.779960	-0.336711	-0.711320	-0.000426
-0.021690	-0.728342	-0.309553	-0.723168	-0.000587
-0.016979	-0.775729	-0.394531	-0.790613	-0.000524
-0.014420	-0.831579	-0.426946	-0.710409	-0.000519
-0.020880	-0.725803	-0.287652	-0.635672	-0.000584
-0.017426	-0.718187	-0.259618	-0.676686	-0.000552
-0.012843	-0.778268	-0.268378	-0.648432	-0.000565
-0.018919	-0.691954	-0.220195	-0.547265	-0.000469
-0.019111	-0.819732	-0.313058	-0.755979	-0.000519
-0.015124	-0.721572	-0.331455	-0.808842	-0.000468
-0.019643	-0.670799	-0.238592	-0.671218	-0.000584
-0.019238	-0.712264	-0.220195	-0.651166	-0.000507
-0.015785	-0.646259	-0.221947	-0.640229	-0.000538
-0.017640	-0.679261	-0.182524	-0.729548	-0.000505
-0.018705	-0.778268	-0.270131	-0.676686	-0.000563
-0.017426	-0.766421	-0.221071	-0.648432	-0.000551
-0.016169	-0.791807	-0.245601	-0.642964	-0.000510
-0.017682	-0.749497	-0.389275	-0.721346	-0.000585
-0.018300	-0.812116	-0.371754	-0.795170	-0.000537
-0.013163	-0.724110	-0.320066	-0.693092	-0.000547
-0.017149	-0.623411	-0.208806	-0.623824	-0.000545
-0.015145	-0.745266	-0.190409	-0.561848	-0.000533
-0.011052	-0.595486	-0.215815	-0.511720	-0.000431
-0.027190	-0.706340	-0.378762	-0.739574	-0.000502
-0.018023	-0.857812	-0.365621	-0.764182	-0.000556
-0.012182	-0.823963	-0.292908	-0.736840	-0.000530
-0.020283	-0.736804	-0.210558	-0.673040	-0.000596
-0.020134	-0.756266	-0.403292	-0.755068	-0.000512
-0.010903	-0.672492	-0.346348	-0.722257	-0.000573
-0.019068	-0.603102	-0.310429	-0.650255	-0.000516
-0.017298	-0.648798	-0.221071	-0.601039	-0.000654
-0.012949	-0.787576	-0.242097	-0.771474	-0.000599
-0.021072	-0.797731	-0.255238	-0.702206	-0.000547
-0.018748	-0.657260	-0.090538	-0.586456	-0.000558
-0.012011	-0.666568	-0.224575	-0.656635	-0.000465
-0.019260	-0.719033	-0.200046	-0.558202	-0.000483
-0.016254	-0.675876	-0.174640	-0.580076	-0.000545
-0.011372	-0.757959	-0.254361	-0.611064	-0.000535
-0.021200	-0.664030	-0.303421	-0.755068	-0.000536
-0.021072	-0.812963	-0.344596	-0.729548	-0.000655
-0.014548	-0.599717	-0.174640	-0.589190	-0.000517
-0.017789	-0.785884	-0.280643	-0.636584	-0.000620
-0.023097	-0.746112	-0.355985	-0.794259	-0.000541
-0.015124	-0.735957	-0.235088	-0.643875	-0.000503
-0.015870	-0.665722	-0.270131	-0.671218	-0.000554
-0.021583	-0.755420	-0.375258	-0.714054	-0.000605
-0.016680	-0.728342	-0.227204	-0.714054	-0.000558
-0.019089	-0.784191	-0.341092	-0.727726	-0.000482
-0.017320	-0.589563	-0.084406	-0.519011	-0.000552
-0.014271	-0.598871	-0.235088	-0.593747	-0.000517
-0.015252	-0.653875	-0.278891	-0.621090	-0.000505
-0.015273	-0.543868	-0.237716	-0.640229	-0.000491
-0.016723	-0.684339	-0.329703	-0.724080	-0.000560
-0.016169	-0.756266	-0.250857	-0.582810	-0.000534
-0.018727	-0.713956	-0.271883	-0.635672	-0.000634
-0.012758	-0.702955	-0.232460	-0.634761	-0.000575
-0.011777	-0.701263	-0.402416	-0.739574	-0.000489
-0.020027	-0.702955	-0.198294	-0.683977	-0.000586
-0.015422	-0.588717	-0.171136	-0.630204	-0.000481
-0.010434	-0.588717	-0.221071	-0.582810	-0.000535
-0.022074	-0.693647	-0.263122	-0.663015	-0.000545
-0.016254	-0.677569	-0.185153	-0.593747	-0.000636
-0.012544	-0.675876	-0.278891	-0.737751	-0.000593
-0.019324	-0.532867	-0.198294	-0.508074	-0.000482
-0.018109	-0.712264	-0.273635	-0.633850	-0.000534
-0.014655	-0.688570	-0.322694	-0.706763	-0.000503
-0.021008	-0.761344	-0.356861	-0.801550	-0.000563
-0.018919	-0.581101	-0.183400	-0.531771	-0.000497
-0.012054	-0.584486	-0.122076	-0.508074	-0.000448
-0.019516	-0.584486	-0.121200	-0.566405	-0.000484
-0.020432	-0.770652	-0.221071	-0.607418	-0.000610
-0.015934	-0.723264	-0.279767	-0.712231	-0.000533
-0.028320	-0.727495	-0.377886	-0.720434	-0.000502
-0.019601	-0.757113	-0.225451	-0.702206	-0.000581
-0.014484	-0.522712	-0.232460	-0.573696	-0.000480
-0.020859	-0.792654	-0.316562	-0.704029	-0.000532
-0.019111	-0.646259	-0.230708	-0.735017	-0.000499
-0.015486	-0.731726	-0.319190	-0.710409	-0.000547
-0.020816	-0.735957	-0.270131	-0.587367	-0.000481
-0.017640	-0.614103	-0.245601	-0.665749	-0.000561
-0.013951	-0.634412	-0.201798	-0.508074	-0.000506
-0.018684	-0.702109	-0.242097	-0.631115	-0.000501
-0.019643	-0.776576	-0.423441	-0.734105	-0.000369
-0.017661	-0.681800	-0.306049	-0.684889	-0.000517
-0.015913	-0.734265	-0.376134	-0.711320	-0.000589
-0.021328	-0.768113	-0.256114	-0.764182	-0.000539
-0.016403	-0.700417	-0.251733	-0.576430	-0.000536
-0.014975	-0.698724	-0.309553	-0.627470	-0.000513
-0.018364	-0.697032	-0.221947	-0.511720	-0.000598
-0.015913	-0.647951	-0.157995	-0.622001	-0.000510
-0.016062	-0.744420	-0.377886	-0.622001	-0.000512
-0.019601	-0.603102	-0.179896	-0.601950	-0.000485
-0.018578	-0.766421	-0.278015	-0.632938	-0.000657
-0.015081	-0.620027	-0.228956	-0.579164	-0.000611
-0.016552	-0.786730	-0.247353	-0.744131	-0.000543
-0.021370	-0.812963	-0.340216	-0.788790	-0.000499
-0.016105	-0.675876	-0.293784	-0.697649	-0.000479
-0.017000	-0.627642	-0.260494	-0.739574	-0.000624
-0.021008	-0.773191	-0.310429	-0.704029	-0.000534
-0.013866	-0.679261	-0.199170	-0.618355	-0.000603
-0.015550	-0.651336	-0.108059	-0.568227	-0.000546
-0.023992	-0.786730	-0.405920	-0.713143	-0.000533
-0.016915	-0.622565	-0.261370	-0.655724	-0.000498
-0.016232	-0.715648	-0.200922	-0.657546	-0.000517
-0.023694	-0.790961	-0.383143	-0.776942	-0.000592
-0.014847	-0.625104	-0.133465	-0.608330	-0.000510
-0.014229	-0.586178	-0.172012	-0.547265	-0.000586
-0.017661	-0.493095	-0.233336	-0.583722	-0.000505
-0.016872	-0.741035	-0.334083	-0.612887	-0.000471
-0.017661	-0.779960	-0.340216	-0.815222	-0.000541
-0.019643	-0.704648	-0.353356	-0.693092	-0.000641
-0.018109	-0.671645	-0.348100	-0.743220	-0.000570
-0.010881	-0.541329	-0.182524	-0.589190	-0.000602
-0.020134	-0.708032	-0.264874	-0.770562	-0.000545
-0.018791	-0.803654	-0.294660	-0.778765	-0.000524
-0.010711	-0.795192	-0.317438	-0.754157	-0.000557
-0.022244	-0.747804	-0.306049	-0.735928	-0.000464
-0.018343	-0.746958	-0.370002	-0.701294	-0.000557
