Time domain signal
Samplerate: 100000 Samples/sec
Col 1 [N]	Model: Hammer PCB 056E80	SerialNr.: 27038	Sensitivity: 0,023300000  [V/N]	PreampGain: 10,0	SensorPosition: Bridge_left_top	
Col 2 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 82951	Sensitivity: 0,000587000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Bridge_left_top	
Col 3 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 82745	Sensitivity: 0,000567000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Bridge_right_top	
Col 4 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 125624	Sensitivity: 0,000545000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Cello Body	
Col 5 [m/s]	Model: Polytec IVS-400	SerialNr.: 0170642	Sensitivity: 40,000000000  [V/m/s]	PreampGain: 1,0	SensorPosition: Bridge_right_top	
DataLines: 114688
Col 1 [N]	Col 2 [m/s^2]	Col 3 [m/s^2]	Col 4 [m/s^2]	Col 5 [m/s]	
-0.029834	-0.537944	-0.321818	-0.401438	-0.000504
-0.028405	-0.508327	-0.389275	-0.447009	-0.000493
-0.034332	-0.532867	-0.343720	-0.418755	-0.000477
-0.028747	-0.503249	-0.292908	-0.328525	-0.000497
-0.023715	-0.408474	-0.242973	-0.256523	-0.000456
-0.032669	-0.435553	-0.261370	-0.410552	-0.000483
-0.029770	-0.500711	-0.310429	-0.422401	-0.000533
-0.027212	-0.679261	-0.454980	-0.497137	-0.000474
-0.035249	-0.489710	-0.344596	-0.421489	-0.000537
-0.031305	-0.505788	-0.326199	-0.389590	-0.000551
-0.027617	-0.526943	-0.419061	-0.341285	-0.000522
-0.034758	-0.504942	-0.371754	-0.506251	-0.000455
-0.032328	-0.489710	-0.373506	-0.348576	-0.000492
-0.029578	-0.555715	-0.327951	-0.495314	-0.000532
-0.036123	-0.548099	-0.394531	-0.474351	-0.000492
-0.034588	-0.578562	-0.325322	-0.405084	-0.000545
-0.027233	-0.498172	-0.357737	-0.476174	-0.000514
-0.033927	-0.466862	-0.220195	-0.402350	-0.000543
-0.036784	-0.632720	-0.374382	-0.454300	-0.000443
-0.030495	-0.526097	-0.286776	-0.363159	-0.000542
-0.034439	-0.478709	-0.256114	-0.481643	-0.000497
-0.041580	-0.537098	-0.391903	-0.555468	-0.000482
-0.035249	-0.495634	-0.454104	-0.436072	-0.000533
-0.032776	-0.557407	-0.290280	-0.438806	-0.000527
-0.034204	-0.470247	-0.298165	-0.359513	-0.000568
-0.034694	-0.626796	-0.388399	-0.427869	-0.000473
-0.030324	-0.464324	-0.374382	-0.358601	-0.000520
-0.034652	-0.406781	-0.321818	-0.332170	-0.000543
-0.033479	-0.546406	-0.426070	-0.422401	-0.000626
-0.029791	-0.463478	-0.360365	-0.443363	-0.000514
-0.037423	-0.579408	-0.361241	-0.388678	-0.000479
-0.031411	-0.493941	-0.321818	-0.301182	-0.000557
-0.022713	-0.321314	-0.235964	-0.359513	-0.000428
-0.036912	-0.418628	-0.329703	-0.454300	-0.000510
-0.034076	-0.392396	-0.297289	-0.358601	-0.000528
-0.021967	-0.471093	-0.286776	-0.410552	-0.000535
-0.035483	-0.531174	-0.410300	-0.457946	-0.000516
-0.033820	-0.439784	-0.326199	-0.328525	-0.000498
-0.022394	-0.479556	-0.373506	-0.456123	-0.000564
-0.036485	-0.596333	-0.525941	-0.531771	-0.000639
-0.034801	-0.536252	-0.428698	-0.335816	-0.000632
-0.021178	-0.554868	-0.287652	-0.482554	-0.000437
-0.035206	-0.383934	-0.339339	-0.405995	-0.000589
-0.032925	-0.527790	-0.192161	-0.370450	-0.000524
-0.024717	-0.567561	-0.267502	-0.303005	-0.000562
-0.035505	-0.488018	-0.370002	-0.434249	-0.000582
-0.035824	-0.601410	-0.290280	-0.479820	-0.000503
-0.024525	-0.418628	-0.321818	-0.391412	-0.000485
-0.035824	-0.452477	-0.292032	-0.450655	-0.000465
-0.036826	-0.488864	-0.355109	-0.419666	-0.000544
-0.025058	-0.486325	-0.347224	-0.442452	-0.000431
-0.035526	-0.669107	-0.407672	-0.487111	-0.000513
-0.039982	-0.597179	-0.357737	-0.410552	-0.000455
-0.030495	-0.571793	-0.423441	-0.435161	-0.000436
-0.032520	-0.524405	-0.285900	-0.416932	-0.000464
-0.035547	-0.521866	-0.263998	-0.372273	-0.000510
-0.030239	-0.622565	-0.436582	-0.385944	-0.000531
-0.032392	-0.554868	-0.340216	-0.356779	-0.000599
-0.036613	-0.545560	-0.429574	-0.500783	-0.000611
-0.029642	-0.634412	-0.405920	-0.483466	-0.000470
-0.031326	-0.543021	-0.392779	-0.467972	-0.000575
-0.034289	-0.517635	-0.243849	-0.350399	-0.000450
-0.028427	-0.505788	-0.295536	-0.406907	-0.000552
-0.028469	-0.460093	-0.251733	-0.340373	-0.000547
-0.035569	-0.605641	-0.452351	-0.473440	-0.000500
-0.030473	-0.599717	-0.355109	-0.501694	-0.000542
-0.030580	-0.471093	-0.370002	-0.433338	-0.000480
-0.034375	-0.512558	-0.329703	-0.447920	-0.000584
-0.029322	-0.577716	-0.363869	-0.488023	-0.000533
-0.027574	-0.537098	-0.334083	-0.470706	-0.000528
-0.035036	-0.488864	-0.279767	-0.409641	-0.000468
-0.029024	-0.353470	-0.297289	-0.360424	-0.000600
-0.030303	-0.681800	-0.496154	-0.562759	-0.000559
-0.036187	-0.533713	-0.342844	-0.430603	-0.000526
-0.030431	-0.535405	-0.406796	-0.493491	-0.000506
-0.029237	-0.557407	-0.425193	-0.504428	-0.000527
-0.035846	-0.477017	-0.361241	-0.436072	-0.000487
-0.033522	-0.565869	-0.346348	-0.429692	-0.000526
-0.030772	-0.647105	-0.436582	-0.589190	-0.000501
-0.034567	-0.628489	-0.362117	-0.519011	-0.000471
-0.034588	-0.540483	-0.289404	-0.463414	-0.000439
-0.032989	-0.545560	-0.310429	-0.441540	-0.000524
-0.033714	-0.444015	-0.282395	-0.341285	-0.000521
-0.037082	-0.565023	-0.307801	-0.434249	-0.000545
-0.033309	-0.645413	-0.374382	-0.486200	-0.000477
-0.031561	-0.430475	-0.318314	-0.358601	-0.000557
-0.032946	-0.537944	-0.370878	-0.465237	-0.000421
-0.032477	-0.499018	-0.293784	-0.421489	-0.000481
-0.032115	-0.594640	-0.401540	-0.528125	-0.000485
-0.053711	-0.494787	-0.308677	-0.461592	-0.000471
-0.034396	-0.502403	-0.438334	-0.395058	-0.000544
-0.027894	-0.547252	-0.253485	-0.329436	-0.000621
-0.036507	-0.474478	-0.277139	-0.416932	-0.000588
-0.031262	-0.563330	-0.353356	-0.410552	-0.000455
-0.026807	-0.436399	-0.198294	-0.288422	-0.000470
-0.034716	-0.464324	-0.299041	-0.344019	-0.000481
-0.031134	-0.533713	-0.323570	-0.338550	-0.000518
-0.024952	-0.558253	-0.285024	-0.417844	-0.000524
-0.037445	-0.549791	-0.325322	-0.533594	-0.000343
-0.032392	-0.559946	-0.434830	-0.429692	-0.000535
-0.025634	-0.494787	-0.330579	-0.376830	-0.000433
-0.031923	-0.413551	-0.233336	-0.337639	-0.000583
-0.031092	-0.607333	-0.411177	-0.503517	-0.000461
-0.025165	-0.450784	-0.369126	-0.429692	-0.000411
-0.033778	-0.532021	-0.305173	-0.391412	-0.000449
-0.031411	-0.504096	-0.444467	-0.467972	-0.000500
-0.027681	-0.531174	-0.361241	-0.464326	-0.000451
-0.032904	-0.566715	-0.349852	-0.490757	-0.000543
-0.033309	-0.647951	-0.420813	-0.453389	-0.000536
-0.029216	-0.555715	-0.398036	-0.460680	-0.000503
-0.034524	-0.603949	-0.363869	-0.492580	-0.000495
-0.032925	-0.466862	-0.280643	-0.343107	-0.000482
-0.028043	-0.615795	-0.327075	-0.472529	-0.000588
-0.032200	-0.515096	-0.257866	-0.338550	-0.000559
-0.034289	-0.477017	-0.310429	-0.376830	-0.000527
-0.026423	-0.477863	-0.298165	-0.356779	-0.000579
-0.035249	-0.522712	-0.320066	-0.459769	-0.000362
-0.038212	-0.443169	-0.317438	-0.395058	-0.000562
-0.029152	-0.439784	-0.279767	-0.289334	-0.000473
-0.032861	-0.467709	-0.231584	-0.412375	-0.000540
-0.033458	-0.528636	-0.278891	-0.455212	-0.000536
-0.031113	-0.600564	-0.349852	-0.446098	-0.000595
-0.029983	-0.488018	-0.293784	-0.426958	-0.000568
-0.032669	-0.455015	-0.283272	-0.391412	-0.000551
-0.028811	-0.495634	-0.256990	-0.276574	-0.000477
-0.026423	-0.342469	-0.166755	-0.299359	-0.000472
-0.035355	-0.570946	-0.313934	-0.417844	-0.000549
-0.030537	-0.555715	-0.350728	-0.474351	-0.000497
-0.024120	-0.525251	-0.327075	-0.309385	-0.000568
-0.033799	-0.581947	-0.269255	-0.405084	-0.000501
-0.030047	-0.560792	-0.311305	-0.406907	-0.000506
-0.026060	-0.515096	-0.348976	-0.372273	-0.000527
-0.035206	-0.467709	-0.328827	-0.427869	-0.000508
-0.030154	-0.475325	-0.278015	-0.321233	-0.000482
-0.027936	-0.565869	-0.384019	-0.437895	-0.000491
-0.038233	-0.570946	-0.312182	-0.422401	-0.000512
-0.031390	-0.582793	-0.258742	-0.431515	-0.000475
-0.029429	-0.629335	-0.437458	-0.550911	-0.000600
-0.038852	-0.583639	-0.332331	-0.461592	-0.000469
-0.033202	-0.476171	-0.288528	-0.472529	-0.000553
-0.030345	-0.619180	-0.382266	-0.530859	-0.000495
-0.039385	-0.529482	-0.356861	-0.451566	-0.000577
-0.034289	-0.434706	-0.257866	-0.245586	-0.000465
-0.031966	-0.608180	-0.442715	-0.435161	-0.000546
-0.039086	-0.515096	-0.358613	-0.495314	-0.000603
-0.037509	-0.585332	-0.442715	-0.436072	-0.000499
-0.032115	-0.540483	-0.273635	-0.461592	-0.000440
-0.034034	-0.425398	-0.222823	-0.215509	-0.000489
-0.038852	-0.450784	-0.201798	-0.399615	-0.000528
-0.032158	-0.498172	-0.326199	-0.380475	-0.000454
-0.034844	-0.422859	-0.360365	-0.397792	-0.000602
-0.033437	-0.542175	-0.332331	-0.478909	-0.000598
-0.034098	-0.651336	-0.464616	-0.469794	-0.000642
-0.036677	-0.642874	-0.433954	-0.525391	-0.000544
-0.031966	-0.416936	-0.262246	-0.395058	-0.000463
-0.030026	-0.271388	-0.193913	-0.275662	-0.000553
-0.032797	-0.476171	-0.399788	-0.363159	-0.000541
-0.023353	-0.473632	-0.295536	-0.437895	-0.000548
-0.032605	-0.532021	-0.317438	-0.424224	-0.000521
-0.030026	-0.638643	-0.439210	-0.519011	-0.000509
-0.030218	-0.525251	-0.397160	-0.395970	-0.000557
-0.029919	-0.455015	-0.231584	-0.371361	-0.000514
